--------- beginning of main
09-18 17:59:44.702 I/HEM96   (11893): AUTORUN start rows=HOLD
09-18 17:59:44.710 I/HEM96   (11893): ROW HOLD begin
09-18 17:59:46.136 I/HEM96   (11893): HOLD start_ms=1413 state=Active stream=LIVE user=BR Staging Test chats=20 polls=7 room=0
09-18 17:59:46.137 I/HEM96   (11893): HOLD EVENT 2026-09-19T00:59:46.137Z StateChanged(Active)
09-18 17:59:46.138 I/HEM96   (11893): HOLD EVENT 2026-09-19T00:59:46.138Z ConnectionChanged(Connected)
09-18 17:59:49.524 I/HEM96   (11893): HOLD EVENT 2026-09-19T00:59:49.524Z StreamUpdated(state=LIVE viewers=1)
09-18 17:59:49.526 I/HEM96   (11893): HOLD EVENT 2026-09-19T00:59:49.525Z PollUpdated(248f3162 closed=true responses=1 my=99fb675f)
09-18 17:59:49.527 I/HEM96   (11893): HOLD EVENT 2026-09-19T00:59:49.526Z PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe)
09-18 17:59:49.528 I/HEM96   (11893): HOLD EVENT 2026-09-19T00:59:49.527Z PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31)
09-18 17:59:49.529 I/HEM96   (11893): HOLD EVENT 2026-09-19T00:59:49.528Z PollUpdated(a3c5650a closed=false responses=1 my=564354fa)
09-18 17:59:56.155 I/HEM96   (11893): HOLD t=10s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=57985
09-18 18:00:06.175 I/HEM96   (11893): HOLD t=20s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=58802
09-18 18:00:16.190 I/HEM96   (11893): HOLD t=30s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=59630
09-18 18:00:26.203 I/HEM96   (11893): HOLD t=40s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=60718
09-18 18:00:26.205 I/HEM96   (11893): ROW HOLD PASS seconds=40 finalState=Active everDisconnected=false reconnectingEvents=0 chats=0 dup=0 sent=0 events=7
09-18 18:00:26.207 I/HEM96   (11893): HOLD EVENT 2026-09-19T01:00:26.206Z StateChanged(Stopping)
09-18 18:00:26.267 I/HEM96   (11893): HOLD EVENT 2026-09-19T01:00:26.266Z ConnectionChanged(Disconnected)
09-18 18:00:26.268 I/HEM96   (11893): HOLD EVENT 2026-09-19T01:00:26.268Z StateChanged(Stopped)
09-18 18:00:26.269 I/HEM96   (11893): AUTORUN COMPLETE
