--------- beginning of main
09-18 16:40:31.254 I/HEM96   (10794): AUTORUN start rows=HOLD
09-18 16:40:31.265 I/HEM96   (10794): ROW HOLD begin
09-18 16:40:31.700 I/HEM96   (10794): HOLD start_ms=421 state=Active stream=LIVE user=BR Staging Test chats=20 polls=7 room=0
09-18 16:40:31.702 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:40:31.701Z StateChanged(Active)
09-18 16:40:31.703 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:40:31.703Z ConnectionChanged(Connected)
09-18 16:40:35.183 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:40:35.181Z PollUpdated(248f3162 closed=true responses=1 my=99fb675f)
09-18 16:40:35.185 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:40:35.184Z PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe)
09-18 16:40:35.186 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:40:35.185Z PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31)
09-18 16:40:35.187 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:40:35.187Z PollUpdated(a3c5650a closed=false responses=1 my=564354fa)
09-18 16:40:41.716 I/HEM96   (10794): HOLD t=10s state=Active conn=Connected events=6 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=0 participants=0 polls=4 pss_kb=58279
09-18 16:40:51.730 I/HEM96   (10794): HOLD t=20s state=Active conn=Connected events=6 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=0 participants=0 polls=4 pss_kb=59009
09-18 16:40:51.834 I/HEM96   (10794): HOLD SENT id=c1a51842-f002-46a5-b7a0-fdb0518783e0 n=1 created=2026-09-18T23:40:51.732Z
09-18 16:40:53.644 I/HEM96   (10794): HOLD CHAT id=f1263668-aa7e-4214-a712-477bad15a778 user=hem96-an created=2026-09-18T23:40:51Z received=2026-09-18T23:40:53.643Z dup=false text=LclientB-fixrun1 s0 n1 2026-09-18T23:40:
09-18 16:40:53.645 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:40:53.645Z ChatBatchReceived(messages=1 reactions=0 ids=f1263668)
09-18 16:40:59.126 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:40:59.125Z StreamUpdated(state=LIVE viewers=2)
09-18 16:41:01.848 I/HEM96   (10794): HOLD t=30s state=Active conn=Connected events=8 reconnecting=0 batches=1 chats=1 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=60041
09-18 16:41:02.667 I/HEM96   (10794): HOLD CHAT id=e5a87d45-977f-4dbd-a10d-51145e138c1d user=hem96-an created=2026-09-18T23:41:01Z received=2026-09-18T23:41:02.666Z dup=false text=LclientB-fixrun1 s0 n2 2026-09-18T23:41:
