--------- beginning of main
09-18 16:46:00.568 I/HEM96   (11188): AUTORUN start rows=HOLD
09-18 16:46:00.588 I/HEM96   (11188): ROW HOLD begin
09-18 16:46:02.172 I/HEM96   (11188): HOLD start_ms=1555 state=Active stream=LIVE user=BR Staging Test chats=19 polls=7 room=1
09-18 16:46:02.173 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:02.173Z StateChanged(Active)
09-18 16:46:02.174 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:02.174Z ConnectionChanged(Connected)
09-18 16:46:05.584 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:05.583Z StreamUpdated(state=LIVE viewers=1)
09-18 16:46:05.587 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:05.585Z PollUpdated(248f3162 closed=true responses=1 my=99fb675f)
09-18 16:46:05.588 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:05.587Z PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe)
09-18 16:46:05.589 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:05.589Z PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31)
09-18 16:46:05.590 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:05.590Z PollUpdated(a3c5650a closed=false responses=1 my=564354fa)
09-18 16:46:12.181 I/HEM96   (11188): HOLD t=10s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=58185
09-18 16:46:15.081 I/HEM96   (11188): HOLD CHAT id=5f3e8130-139c-45c1-9186-faab39b7ed35 user=hem96-an created=2026-09-18T23:46:12Z received=2026-09-18T23:46:15.080Z dup=false text=LclientB-fixrun3 s0 n1 2026-09-18T23:46:
09-18 16:46:15.082 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:15.082Z ChatBatchReceived(messages=1 reactions=0 ids=5f3e8130)
09-18 16:46:17.229 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:17.228Z StreamUpdated(state=LIVE viewers=2)
09-18 16:46:22.190 I/HEM96   (11188): HOLD t=20s state=Active conn=Connected events=9 reconnecting=0 batches=1 chats=1 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=59023
09-18 16:46:27.113 I/HEM96   (11188): HOLD CHAT id=7612a396-e759-4ddc-9889-f9ed2d4d9999 user=hem96-an created=2026-09-18T23:46:22Z received=2026-09-18T23:46:27.112Z dup=false text=LclientB-fixrun3 s0 n2 2026-09-18T23:46:
09-18 16:46:27.115 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:27.114Z ChatBatchReceived(messages=1 reactions=0 ids=7612a396)
09-18 16:46:32.205 I/HEM96   (11188): HOLD t=30s state=Active conn=Connected events=10 reconnecting=0 batches=2 chats=2 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=59891
09-18 16:46:36.165 I/HEM96   (11188): HOLD CHAT id=2b895d78-3c58-4065-aaa3-d57064e1e4dc user=hem96-an created=2026-09-18T23:46:32Z received=2026-09-18T23:46:36.165Z dup=false text=LclientB-fixrun3 s0 n3 2026-09-18T23:46:
09-18 16:46:36.168 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:36.166Z ChatBatchReceived(messages=1 reactions=0 ids=2b895d78)
09-18 16:46:42.219 I/HEM96   (11188): HOLD t=40s state=Active conn=Connected events=11 reconnecting=0 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=60880
09-18 16:46:51.227 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:46:51.226Z ConnectionChanged(Reconnecting(1))
