--------- beginning of main
09-18 16:36:58.535 I/HEM96   (10537): AUTORUN start rows=N15MID
09-18 16:36:58.548 I/HEM96   (10537): ROW N15MID begin
09-18 16:37:00.448 I/HEM96   (10537): N15MID start_ms=1875 state=Active stream=LIVE user=HEM96_short2 chats=20 polls=7 room=0
09-18 16:37:00.451 I/HEM96   (10537): N15MID EVENT 2026-09-18T23:37:00.449Z StateChanged(Active)
09-18 16:37:00.497 I/HEM96   (10537): N15MID EVENT 2026-09-18T23:37:00.496Z ConnectionChanged(Connected)
09-18 16:37:03.914 I/HEM96   (10537): N15MID EVENT 2026-09-18T23:37:03.901Z PollUpdated(248f3162 closed=true responses=1 my=null)
09-18 16:37:03.916 I/HEM96   (10537): N15MID EVENT 2026-09-18T23:37:03.916Z PollUpdated(5d98220b closed=false responses=1 my=null)
09-18 16:37:03.918 I/HEM96   (10537): N15MID EVENT 2026-09-18T23:37:03.917Z PollUpdated(7e9b3c6d closed=false responses=1 my=null)
09-18 16:37:03.921 I/HEM96   (10537): N15MID EVENT 2026-09-18T23:37:03.918Z PollUpdated(a3c5650a closed=false responses=1 my=null)
09-18 16:37:15.865 I/HEM96   (10537): N15MID EVENT 2026-09-18T23:37:15.864Z StreamUpdated(state=LIVE viewers=1)
09-18 16:37:30.453 I/HEM96   (10537): N15MID t=30s state=Active connectionEvents=1 reconnecting=0
09-18 16:38:00.456 I/HEM96   (10537): N15MID t=60s state=Active connectionEvents=1 reconnecting=0
09-18 16:38:30.460 I/HEM96   (10537): N15MID t=90s state=Active connectionEvents=1 reconnecting=0
09-18 16:39:00.242 I/HEM96   (10537): N15MID EVENT 2026-09-18T23:39:00.241Z ConnectionChanged(Disconnected)
09-18 16:39:00.244 I/HEM96   (10537): N15MID EVENT 2026-09-18T23:39:00.244Z StateChanged(Failed(Unauthorized))
09-18 16:39:00.464 I/HEM96   (10537): N15MID t=120s state=Failed(Unauthorized) connectionEvents=2 reconnecting=0
09-18 16:39:30.474 I/HEM96   (10537): N15MID t=150s state=Failed(Unauthorized) connectionEvents=2 reconnecting=0
09-18 16:39:30.476 I/HEM96   (10537): N15MID chat at t=150s → InvalidSessionState
09-18 16:40:00.504 I/HEM96   (10537): N15MID t=180s state=Failed(Unauthorized) connectionEvents=2 reconnecting=0
09-18 16:40:30.521 I/HEM96   (10537): N15MID t=210s state=Failed(Unauthorized) connectionEvents=2 reconnecting=0
09-18 16:40:30.523 I/HEM96   (10537): ROW N15MID INFO final state=Failed(Unauthorized) events=[StateChanged(Active), ConnectionChanged(Connected), StreamUpdated(state=LIVE viewers=1), ConnectionChanged(Disconnected), StateChanged(Failed(Unauthorized))]
09-18 16:40:30.578 I/HEM96   (10537): N15MID EVENT 2026-09-18T23:40:30.577Z StateChanged(Stopped)
09-18 16:40:30.579 I/HEM96   (10537): AUTORUN COMPLETE
