t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.3,hold,1,0,0,0,0,5,0.08,0.46,0.00,23,1,37,132,21,0,0,0
10.3,hold,1,0,0,0,0,7,0.12,0.46,0.00,26,3,40,135,21,0,0,0
15.4,hold,1,0,0,0,0,9,0.15,0.46,0.00,26,4,41,137,21,1,1,0
20.4,hold,1,0,0,0,0,11,0.18,0.46,0.00,30,6,11,124,21,1,1,1
25.4,hold,1,0,0,0,0,14,0.23,0.46,0.00,30,8,14,127,21,2,1,1
30.4,hold,1,0,0,0,0,15,0.25,0.46,0.00,30,9,14,127,21,2,1,1
35.4,hold,1,0,0,0,0,18,0.30,0.46,0.00,30,11,15,123,21,3,2,1
40.4,hold,1,0,0,0,0,20,0.33,0.46,0.00,27,13,16,123,21,3,2,1
45.5,hold,1,0,0,0,0,22,0.37,0.46,0.00,30,14,16,124,21,4,2,1
50.5,hold,1,0,0,0,0,24,0.40,0.46,0.00,30,16,17,124,21,4,2,1
55.5,hold,1,0,0,0,0,27,0.45,0.46,0.00,30,18,18,124,21,5,3,1
60.5,hold,1,0,0,0,0,29,0.42,0.46,0.00,30,19,18,124,19,5,3,1
65.5,hold,1,0,0,0,0,32,0.45,0.46,0.00,38,20,21,125,19,6,3,1
70.6,hold,1,0,0,0,0,34,0.43,0.46,0.00,38,20,21,125,19,6,3,1
75.6,hold,1,0,0,0,0,36,0.45,0.46,0.00,38,20,21,125,19,7,4,1
80.6,hold,1,0,0,0,0,38,0.43,0.46,0.00,38,20,22,126,19,7,4,2
85.6,hold,1,0,0,0,0,41,0.45,0.46,0.00,38,20,23,126,19,8,4,2
90.6,hold,1,0,0,0,0,42,0.42,0.46,0.00,38,19,23,126,19,8,4,2
95.7,hold,1,0,0,0,0,45,0.45,0.46,0.00,38,20,24,126,18,9,5,2
100.7,hold,1,0,0,0,0,47,0.45,0.46,0.00,53,20,25,129,18,9,5,3
105.7,hold,1,0,0,0,0,49,0.43,0.46,0.00,53,19,25,89,18,10,5,3
110.7,hold,1,0,0,0,0,51,0.45,0.46,0.00,53,20,26,90,18,10,5,3
115.7,hold,1,0,0,0,0,54,0.45,0.46,0.00,53,20,27,88,18,11,6,3
120.8,hold,1,0,0,0,0,57,0.45,0.46,0.00,43,19,28,91,19,11,6,3
125.8,hold,1,0,0,0,0,60,0.47,0.46,0.00,43,20,28,93,19,12,6,3
130.8,hold,1,0,0,0,0,62,0.47,0.46,0.00,43,20,29,94,19,12,6,3
135.8,hold,1,0,0,0,0,64,0.45,0.46,0.00,43,19,30,94,19,13,7,3
140.8,hold,1,0,0,0,0,66,0.47,0.46,0.00,43,20,30,88,19,13,7,4
145.8,hold,1,0,0,0,0,69,0.47,0.46,0.00,43,20,31,88,19,14,7,4
150.9,drain,1,0,0,0,0,70,0.45,0.46,0.00,43,19,31,96,21,14,7,4
