t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.3,hold,1,0,0,0,0,5,0.08,0.56,0.00,437,1,37,106,21,0,0,0
10.3,hold,1,0,0,0,0,8,0.13,0.56,0.00,437,3,40,112,21,1,0,0
15.3,hold,1,0,0,0,0,10,0.17,0.56,0.00,437,4,41,110,21,2,0,0
20.3,hold,1,0,0,0,0,13,0.22,0.56,0.00,437,6,10,123,21,3,0,0
25.3,hold,1,0,0,0,0,16,0.27,0.56,0.00,437,8,13,127,21,4,0,0
30.3,hold,1,0,0,0,0,18,0.30,0.56,0.00,437,9,13,127,21,5,0,0
35.4,hold,1,0,0,0,0,21,0.35,0.56,0.00,437,11,14,123,21,6,0,0
40.4,hold,1,0,0,0,0,24,0.40,0.56,0.00,429,13,16,123,21,7,0,0
45.4,hold,1,0,0,0,0,26,0.43,0.56,0.00,437,14,16,122,21,8,0,0
50.4,hold,1,0,0,0,0,29,0.48,0.56,0.00,437,16,18,81,21,9,0,0
55.4,hold,1,0,0,0,0,32,0.53,0.56,0.00,437,18,19,79,21,10,0,0
60.4,hold,1,0,0,0,0,35,0.52,0.56,0.00,437,19,21,81,19,11,0,0
65.5,hold,1,0,0,0,0,38,0.55,0.56,0.00,429,20,21,82,19,12,0,0
70.5,hold,1,0,0,0,0,41,0.55,0.56,0.00,428,20,22,95,19,13,0,0
75.5,hold,1,0,0,0,0,43,0.53,0.56,0.00,514,19,22,89,19,14,0,0
80.5,hold,1,0,0,0,0,46,0.55,0.56,0.00,530,20,22,90,19,15,0,0
85.5,hold,1,0,0,0,0,49,0.55,0.56,0.00,530,20,23,80,19,16,0,0
90.5,hold,1,0,0,0,0,51,0.53,0.56,0.00,530,19,24,81,19,17,0,0
