session,user,start_ms,start_error,final_state,reconnecting_events,max_reconnect_attempt,connected_events,disconnected_events,chat_attempted,chat_sent,chat_send_p50_ms,chat_delivered,duplicate_chat_deliveries,stream_updated,participants_updated,poll_events,events,stop_ms
0,user0,212,,stopped,0,0,1,1,10,10,69,237,0,3,2,4,113,49
1,user1,110,,stopped,0,0,1,1,10,10,71,236,0,3,2,4,113,44
2,user2,112,,stopped,0,0,1,1,10,10,70,236,0,3,2,4,113,42
3,user3,123,,stopped,0,0,1,1,10,10,72,236,0,3,2,4,113,42
4,user4,114,,stopped,0,0,1,1,10,10,69,236,0,3,2,4,113,42
5,user5,152,,stopped,0,0,1,1,10,10,70,238,0,3,2,4,114,42
6,user6,113,,stopped,0,0,1,1,10,10,73,238,0,3,2,4,114,40
7,user7,106,,stopped,0,0,1,1,10,10,74,238,0,3,2,4,114,42
8,user8,115,,stopped,0,0,1,1,10,10,70,238,0,3,2,4,104,49
9,user9,108,,stopped,0,0,1,1,10,10,71,236,0,3,2,4,113,46
10,user10,146,,stopped,0,0,1,1,9,9,68,237,0,3,2,4,113,41
11,user11,104,,stopped,0,0,1,1,10,10,71,236,0,3,2,4,113,40
12,user12,112,,stopped,0,0,1,1,10,10,71,238,0,3,2,4,114,45
13,user13,111,,stopped,0,0,1,1,10,10,70,236,0,3,2,4,113,43
14,user14,101,,stopped,0,0,1,1,9,9,68,239,0,3,2,4,114,45
15,user15,104,,stopped,0,0,1,1,10,10,68,236,0,3,2,4,113,44
16,user16,108,,stopped,0,0,1,1,10,10,70,237,0,3,2,4,113,45
17,user17,105,,stopped,0,0,1,1,10,10,72,236,0,3,2,4,113,40
18,user18,99,,stopped,0,0,1,1,10,10,72,236,0,3,2,4,113,41
19,user19,145,,stopped,0,0,1,1,10,10,70,238,0,2,2,4,113,40
20,user20,117,,stopped,0,0,1,1,10,10,75,238,0,2,2,4,113,44
21,user21,106,,stopped,0,0,1,1,10,10,70,238,0,2,2,4,113,43
22,user22,103,,stopped,0,0,1,1,10,10,70,238,0,2,2,4,113,49
23,user23,107,,stopped,0,0,1,1,10,10,71,238,0,2,2,4,113,43
24,user24,186,,stopped,0,0,1,1,10,10,72,238,0,2,2,4,113,43
