t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.3,ramp,24,1,0,0,0,106,1.77,9.79,0.00,298,10,53,167,118,0,0,0
10.3,hold,25,0,0,0,0,150,2.50,9.79,0.00,236,49,68,154,122,1,0,0
15.3,hold,25,0,0,0,0,195,3.25,9.79,0.00,368,89,79,160,123,6,51,0
20.3,hold,25,0,0,0,0,245,4.08,9.79,0.00,298,134,98,172,123,11,163,0
25.3,hold,25,0,0,0,0,291,4.85,9.79,0.00,331,174,112,187,123,17,327,0
30.4,hold,25,0,0,0,0,335,5.58,9.79,0.00,331,215,126,202,123,20,432,0
35.4,hold,25,0,0,0,0,383,6.38,9.79,0.00,331,259,14,125,123,24,516,0
40.4,hold,25,0,0,0,0,425,7.08,9.79,0.00,323,299,15,146,123,26,592,0
45.4,hold,25,0,0,0,0,471,7.85,9.79,0.00,323,340,29,152,123,31,660,0
50.4,hold,25,0,0,0,0,520,8.67,9.79,0.00,323,384,24,156,123,36,769,0
55.4,hold,25,0,0,0,0,566,9.43,9.79,0.00,323,424,17,157,124,42,933,0
60.5,hold,25,0,0,0,0,611,10.12,9.79,0.00,323,465,31,157,123,45,1037,0
65.5,hold,25,0,0,0,0,683,9.55,9.79,0.00,323,499,27,156,77,49,1116,0
70.5,hold,25,0,0,0,0,725,9.55,9.79,0.00,323,498,18,157,77,51,1198,0
75.5,hold,25,0,0,0,0,771,9.58,9.79,0.00,329,500,33,161,76,56,1266,0
80.5,hold,25,0,0,0,0,820,9.55,9.79,0.00,331,498,25,156,77,61,1374,0
85.5,hold,25,0,0,0,0,866,9.53,9.79,0.00,323,497,17,157,77,67,1533,0
90.6,hold,25,0,0,0,0,910,9.55,9.79,0.00,329,498,32,157,77,70,1637,0
95.6,hold,25,0,0,0,0,958,9.55,9.79,0.00,329,498,24,146,77,74,1714,0
100.6,hold,25,0,0,0,0,1000,9.53,9.79,0.00,329,497,39,146,77,76,1798,0
105.6,hold,25,0,0,0,0,1046,9.55,9.79,0.00,336,498,28,148,78,81,1866,0
110.7,hold,25,0,0,0,0,1095,9.55,9.79,0.00,361,498,20,151,79,86,1984,0
115.7,hold,25,0,0,0,0,1141,9.53,9.79,0.00,336,497,36,152,79,92,2133,0
120.7,hold,25,0,0,0,0,1189,9.58,9.79,0.00,360,498,26,152,81,95,2237,0
125.7,hold,25,0,0,0,0,1284,9.98,9.79,0.00,360,499,22,223,104,99,2318,0
130.7,hold,25,0,0,0,0,1325,9.95,9.79,0.00,303,497,36,263,104,101,2398,0
135.7,hold,25,0,0,0,0,1373,10.00,9.79,0.00,336,500,27,235,104,106,2466,0
140.7,hold,25,0,0,0,0,1421,9.97,9.79,0.00,316,498,19,209,104,111,2583,0
145.7,hold,25,0,0,0,0,1466,9.95,9.79,0.00,307,497,34,239,104,117,2733,0
150.8,hold,25,0,0,0,0,1512,10.00,9.79,0.00,319,500,25,328,104,120,2837,0
155.8,hold,25,0,0,0,0,1559,9.98,9.79,0.00,319,499,15,242,104,124,2920,0
160.8,hold,25,0,0,0,0,1600,9.95,9.79,0.00,307,497,30,243,104,126,2994,0
165.8,hold,25,0,0,0,0,1648,10.00,9.79,0.00,316,500,20,244,104,131,3063,0
170.8,hold,25,0,0,0,0,1696,9.98,9.79,0.00,311,499,36,227,104,136,3178,0
175.8,hold,25,0,0,0,0,1741,9.95,9.79,0.00,307,497,27,228,104,142,3325,0
180.9,hold,25,0,0,0,0,1790,9.93,9.79,0.00,316,499,19,228,101,145,3434,0
185.9,hold,25,0,0,0,0,1860,9.57,9.79,0.00,316,499,36,212,82,149,3516,0
190.9,hold,25,0,0,0,0,1900,9.53,9.79,0.00,311,497,27,212,82,151,3592,0
195.9,hold,25,0,0,0,0,1948,9.57,9.79,0.00,316,499,18,211,82,156,3660,0
200.9,hold,25,0,0,0,0,1997,9.57,9.79,0.00,318,499,34,207,82,161,3768,0
205.9,hold,25,0,0,0,0,2041,9.53,9.79,0.00,295,497,26,207,82,167,3922,0
210.9,hold,25,0,0,0,0,2087,9.57,9.79,0.00,311,499,18,208,82,170,4034,0
216.0,hold,25,0,0,0,0,2135,9.57,9.79,0.00,311,499,34,137,82,174,4114,0
221.0,hold,25,0,0,0,0,2175,9.52,9.79,0.00,295,496,25,137,82,176,4190,0
226.0,hold,25,0,0,0,0,2223,9.57,9.79,0.00,311,499,41,137,82,181,4260,0
231.0,hold,25,0,0,0,0,2272,9.57,9.79,0.00,288,499,32,133,82,186,4368,0
236.0,hold,25,0,0,0,0,2316,9.50,9.79,0.00,286,495,25,135,82,192,4522,0
241.0,hold,25,0,0,0,0,2370,9.62,9.79,0.00,284,499,18,143,86,195,4634,0
246.1,hold,25,0,0,0,0,2460,9.98,9.79,0.00,284,499,38,129,103,199,4714,0
251.1,hold,25,0,0,0,0,2500,9.92,9.79,0.00,284,495,30,130,103,201,4790,0
