session,user,start_ms,start_error,final_state,reconnecting_events,max_reconnect_attempt,connected_events,disconnected_events,chat_attempted,chat_sent,chat_send_p50_ms,chat_delivered,duplicate_chat_deliveries,stream_updated,participants_updated,poll_events,events,stop_ms
0,shared,222,,stopped,0,0,1,1,10,10,69,70,6,1,0,4,51,49
1,shared,115,,stopped,0,0,1,1,10,10,52,74,8,1,0,4,51,45
2,shared,98,,stopped,0,0,1,1,11,11,48,73,7,1,0,4,48,40
3,shared,106,,stopped,0,0,1,1,10,10,67,70,8,1,0,4,51,45
4,shared,100,,stopped,0,0,1,1,10,10,54,71,8,1,0,4,50,41
5,shared,98,,stopped,0,0,1,1,10,10,61,71,8,1,0,4,51,50
6,shared,138,,stopped,0,0,1,1,10,10,66,70,8,1,0,4,50,40
7,shared,100,,stopped,0,0,1,1,10,10,53,71,5,1,0,4,47,44
8,shared,106,,stopped,0,0,1,1,10,10,49,72,8,1,0,4,49,43
9,shared,102,,stopped,0,0,1,1,10,10,50,73,8,1,0,4,51,42
10,shared,135,,stopped,0,0,1,1,10,10,51,71,8,1,0,4,51,40
11,shared,101,,stopped,0,0,1,1,10,10,53,71,7,1,0,4,51,40
12,shared,103,,stopped,0,0,1,1,10,10,67,71,8,1,0,4,50,42
13,shared,128,,stopped,0,0,1,1,10,10,51,73,8,1,0,4,49,43
14,shared,107,,stopped,0,0,1,1,10,10,49,74,8,1,0,4,51,43
15,shared,128,,stopped,0,0,1,1,10,10,49,73,8,1,0,4,51,41
16,shared,104,,stopped,0,0,1,1,10,10,58,72,8,1,0,4,51,44
17,shared,115,,stopped,0,0,1,1,10,10,51,72,8,1,0,4,51,43
18,shared,94,,stopped,0,0,1,1,10,10,49,74,8,1,0,4,50,48
19,shared,102,,stopped,0,0,1,1,10,10,50,74,8,1,0,4,50,53
20,shared,139,,stopped,0,0,1,1,10,10,50,72,8,1,0,4,50,43
21,shared,112,,stopped,0,0,1,1,10,10,56,71,8,1,0,4,49,47
22,shared,104,,stopped,0,0,1,1,10,10,54,71,7,1,0,4,50,40
23,shared,107,,stopped,0,0,1,1,10,10,49,71,8,1,0,4,50,41
24,shared,103,,stopped,0,0,1,1,10,10,70,69,8,1,0,4,50,46
