t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.3,ramp,24,1,0,0,0,110,1.82,9.79,0.00,371,10,51,161,123,1,0,0
10.3,hold,25,0,0,0,0,154,2.57,9.79,0.00,371,50,63,171,124,4,33,0
15.3,hold,25,0,0,0,0,198,3.30,9.79,0.00,371,90,77,163,124,8,134,10
20.4,hold,25,0,0,0,0,247,4.12,9.79,0.00,358,135,94,175,128,12,235,24
25.4,hold,25,0,0,0,0,291,4.85,9.79,0.00,328,175,106,149,128,16,340,48
30.4,hold,25,0,0,0,0,338,5.63,9.79,0.00,328,215,118,125,128,23,355,48
35.4,hold,25,0,0,0,0,386,6.43,9.79,0.00,328,260,133,104,128,26,355,48
40.4,hold,25,0,0,0,0,429,7.15,9.79,0.00,303,300,143,120,128,29,355,48
45.4,hold,25,0,0,0,0,473,7.88,9.79,0.00,319,340,156,141,128,33,355,48
50.4,hold,25,0,0,0,0,522,8.70,9.79,0.00,319,385,170,136,128,37,355,48
55.4,hold,25,0,0,0,0,566,9.43,9.79,0.00,303,425,182,118,128,41,355,48
60.5,hold,25,0,0,0,0,614,10.17,9.79,0.00,303,465,193,136,127,48,355,48
65.5,hold,25,0,0,0,0,686,9.58,9.79,0.00,300,500,213,138,79,51,364,48
70.5,hold,25,0,0,0,0,728,9.53,9.79,0.00,298,498,226,151,79,54,379,72
75.5,hold,25,0,0,0,0,773,9.58,9.79,0.00,298,500,23,184,79,58,449,72
80.5,hold,25,0,0,0,0,822,9.57,9.79,0.00,292,499,40,167,77,62,565,81
85.5,hold,25,0,0,0,0,865,9.55,9.79,0.00,272,498,54,107,77,66,691,96
90.6,hold,25,0,0,0,0,913,9.57,9.79,0.00,272,499,67,146,77,73,706,120
95.6,hold,25,0,0,0,0,962,9.58,9.79,0.00,270,500,81,151,77,76,715,120
100.6,hold,25,0,0,0,0,1003,9.52,9.79,0.00,257,497,93,157,76,79,715,120
105.6,hold,25,0,0,0,0,1049,9.55,9.79,0.00,257,498,106,178,76,83,715,120
110.6,hold,25,0,0,0,0,1098,9.58,9.79,0.00,238,500,119,182,76,87,715,120
115.6,hold,25,0,0,0,0,1139,9.52,9.79,0.00,229,496,132,159,77,91,715,120
120.7,hold,25,0,0,0,0,1194,9.60,9.79,0.00,257,500,145,166,79,98,715,120
125.7,hold,25,0,0,0,0,1287,10.00,9.79,0.00,309,500,161,231,101,101,715,120
130.7,hold,25,0,0,0,0,1327,9.92,9.79,0.00,309,496,173,265,102,104,739,120
135.7,hold,25,0,0,0,0,1375,10.00,9.79,0.00,340,500,187,290,102,108,771,120
140.7,hold,25,0,0,0,0,1423,10.00,9.79,0.00,341,500,201,277,102,112,871,120
145.7,hold,25,0,0,0,0,1464,9.93,9.79,0.00,341,496,213,193,102,116,979,120
150.7,hold,25,0,0,0,0,1515,9.98,9.79,0.00,362,499,229,289,102,123,1028,144
155.8,hold,25,0,0,0,0,1562,9.98,9.79,0.00,364,499,27,335,102,126,1075,144
160.8,hold,25,0,0,0,0,1606,9.97,9.79,0.00,364,499,40,270,102,129,1075,144
165.8,hold,25,0,0,0,0,1650,9.98,9.79,0.00,375,499,52,270,102,133,1075,144
170.8,hold,25,0,0,0,0,1698,9.98,9.79,0.00,364,499,65,226,102,137,1075,144
175.8,hold,25,0,0,0,0,1743,9.98,9.79,0.00,363,499,78,227,102,141,1075,144
180.8,hold,25,0,0,0,0,1792,9.90,9.79,0.00,362,498,91,175,99,148,1075,144
185.8,hold,25,0,0,0,0,1863,9.58,9.79,0.00,362,500,109,150,80,151,1075,144
190.8,hold,25,0,0,0,0,1907,9.53,9.79,0.00,359,498,122,165,78,155,1076,144
195.9,hold,25,0,0,0,0,1951,9.57,9.79,0.00,362,499,134,180,78,158,1115,144
200.9,hold,25,0,0,0,0,1999,9.58,9.79,0.00,359,500,150,190,77,162,1195,144
205.9,hold,25,0,0,0,0,2044,9.57,9.79,0.00,359,499,163,155,77,166,1291,145
210.9,hold,25,0,0,0,0,2092,9.57,9.79,0.00,362,499,176,167,77,173,1340,168
215.9,hold,25,0,0,0,0,2138,9.58,9.79,0.00,362,500,191,183,77,176,1435,168
220.9,hold,25,0,0,0,0,2184,9.57,9.79,0.00,359,499,204,166,77,180,1435,168
225.9,hold,25,0,0,0,0,2227,9.58,9.79,0.00,356,500,216,174,77,183,1435,168
230.9,hold,25,0,0,0,0,2274,9.58,9.79,0.00,361,500,230,173,79,187,1435,168
236.0,hold,25,0,0,0,0,2320,9.58,9.79,0.00,362,500,25,219,79,191,1435,168
241.0,hold,25,0,0,0,0,2373,9.63,9.79,0.00,362,500,39,220,81,198,1435,168
246.0,hold,25,0,0,0,0,2463,10.00,9.79,0.00,362,500,55,209,102,201,1435,168
251.0,hold,25,0,0,0,0,2509,10.00,9.79,0.00,361,500,69,221,102,205,1435,168
256.0,hold,25,0,0,0,0,2552,10.00,9.79,0.00,361,500,81,226,102,208,1467,168
261.0,hold,25,0,0,0,0,2599,10.00,9.79,0.00,361,500,96,195,102,212,1531,192
266.0,hold,25,0,0,0,0,2645,9.98,9.79,0.00,361,499,109,122,102,216,1581,192
271.1,hold,25,0,0,0,0,2692,9.98,9.79,0.00,361,499,123,116,102,223,1652,192
276.1,hold,25,0,0,0,0,2738,10.00,9.79,0.00,361,500,137,111,103,226,1782,192
281.1,hold,25,0,0,0,0,2785,9.98,9.79,0.00,362,499,151,134,103,230,1794,192
286.1,hold,25,0,0,0,0,2827,9.98,9.79,0.00,363,499,163,160,103,233,1794,192
291.1,hold,25,0,0,0,0,2874,9.98,9.79,0.00,365,499,177,167,102,237,1794,192
296.1,hold,25,0,0,0,0,2921,10.00,9.79,0.00,366,500,191,165,102,241,1794,192
301.2,hold,25,0,0,0,0,2972,9.92,9.79,0.00,371,499,203,179,98,248,1794,192
306.2,drain,20,0,0,0,5,3042,9.63,9.79,0.00,375,499,18,122,78,251,1794,192
311.2,idle,0,0,0,0,25,3071,9.33,9.79,0.00,376,462,23,128,79,251,1794,192
316.2,idle,0,0,0,0,25,3071,8.62,9.79,0.00,377,422,23,129,79,251,1794,192
321.2,idle,0,0,0,0,25,3071,7.85,9.79,0.00,377,380,23,120,79,251,1794,192
326.2,idle,0,0,0,0,25,3071,7.07,9.79,0.00,377,337,23,94,79,251,1794,192
331.2,idle,0,0,0,0,25,3071,6.28,9.79,0.00,380,297,23,94,79,251,1794,192
336.3,idle,0,0,0,0,25,3071,5.53,9.79,0.00,380,255,24,39,78,251,1794,192
341.4,idle,0,0,0,0,25,3071,4.73,9.79,0.00,380,211,24,48,78,251,1794,192
346.4,idle,0,0,0,0,25,3071,3.98,9.79,0.00,380,170,24,48,78,251,1794,192
351.4,idle,0,0,0,0,25,3071,3.25,9.79,0.00,380,129,24,57,77,251,1794,192
356.4,idle,0,0,0,0,25,3071,2.47,9.79,0.00,388,86,24,141,75,251,1794,192
361.4,idle,0,0,0,0,25,3071,1.58,9.79,0.00,222,45,24,129,74,251,1794,192
366.4,idle,0,0,0,0,25,3071,0.40,9.79,0.00,15,4,24,84,65,251,1794,192
371.5,idle,0,0,0,0,25,3071,0.00,9.79,0.00,0,0,24,45,44,251,1794,192
