session,user,start_ms,start_error,final_state,reconnecting_events,max_reconnect_attempt,connected_events,disconnected_events,chat_attempted,chat_sent,chat_send_p50_ms,chat_delivered,duplicate_chat_deliveries,stream_updated,participants_updated,poll_events,events,stop_ms
0,user0,229,,stopped,0,0,1,1,10,10,69,237,29,3,2,4,110,46
1,user1,155,,stopped,0,0,1,1,10,10,69,238,29,3,2,4,111,45
2,user2,135,,stopped,0,0,1,1,10,10,69,238,29,3,2,4,111,45
3,user3,131,,stopped,0,0,1,1,10,10,68,238,25,3,2,4,111,43
4,user4,136,,stopped,0,0,1,1,10,10,71,238,29,3,2,4,111,42
5,user5,136,,stopped,0,0,1,1,10,10,71,238,24,3,2,4,104,43
6,user6,155,,stopped,0,0,1,1,10,10,70,238,29,3,2,4,111,43
7,user7,133,,stopped,0,0,1,1,10,10,69,238,29,3,2,4,111,42
8,user8,127,,stopped,0,0,1,1,10,10,71,238,25,3,2,4,111,42
9,user9,133,,stopped,0,0,1,1,10,10,70,238,28,3,2,4,111,42
10,user10,144,,stopped,0,0,1,1,10,10,70,238,29,3,2,4,101,42
11,user11,178,,stopped,0,0,1,1,10,10,69,238,29,3,2,4,111,44
12,user12,125,,stopped,0,0,1,1,10,10,68,238,29,3,2,4,111,42
13,user13,131,,stopped,0,0,1,1,10,10,69,238,28,3,2,4,111,39
14,user14,129,,stopped,0,0,1,1,10,10,69,235,28,3,2,4,110,49
15,user15,126,,stopped,0,0,1,1,10,10,75,235,29,3,2,4,110,43
16,user16,135,,stopped,0,0,1,1,10,10,72,238,25,3,2,4,109,42
17,user17,128,,stopped,0,0,1,1,10,10,70,238,29,3,2,4,111,41
18,user18,125,,stopped,0,0,1,1,10,10,69,239,25,3,2,4,111,44
19,user19,157,,stopped,0,0,1,1,10,10,71,238,29,3,2,4,111,45
20,user20,126,,stopped,0,0,1,1,10,10,70,238,29,3,2,4,111,43
21,user21,140,,stopped,0,0,1,1,10,10,70,238,23,3,2,4,111,41
22,user22,142,,stopped,0,0,1,1,10,10,72,238,29,3,2,4,111,39
23,user23,119,,stopped,0,0,1,1,10,10,71,238,29,3,2,4,108,43
24,user24,123,,stopped,0,0,1,1,9,9,71,239,29,3,2,4,111,45
