t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.5,ramp,24,1,0,0,0,108,1.77,9.79,0.00,398,10,53,122,125,0,0,0
10.5,hold,25,0,0,0,0,151,2.52,9.79,0.00,398,49,69,96,126,2,22,0
15.5,hold,25,0,0,0,0,196,3.27,9.79,0.00,362,90,81,117,126,6,93,0
20.5,hold,25,0,0,0,0,245,4.07,9.79,0.00,362,134,94,98,127,10,170,0
25.6,hold,25,0,0,0,0,288,4.80,9.79,0.00,362,175,109,96,127,13,287,0
30.6,hold,25,0,0,0,0,333,5.55,9.79,0.00,335,215,120,117,127,18,353,0
35.6,hold,25,0,0,0,0,384,6.40,9.79,0.00,335,260,134,143,127,24,512,0
40.6,hold,25,0,0,0,0,427,7.12,9.79,0.00,335,300,149,165,127,27,623,0
45.6,hold,25,0,0,0,0,471,7.85,9.79,0.00,323,340,162,140,127,31,716,0
50.6,hold,25,0,0,0,0,520,8.67,9.79,0.00,343,385,177,149,127,35,794,0
55.7,hold,25,0,0,0,0,563,9.38,9.79,0.00,353,425,189,149,127,38,888,0
60.7,hold,25,0,0,0,0,609,10.07,9.79,0.00,353,465,203,132,125,43,956,0
65.7,hold,25,0,0,0,0,684,9.55,9.79,0.00,352,499,223,150,79,49,1144,0
70.7,hold,25,0,0,0,0,727,9.57,9.79,0.00,353,499,21,156,79,52,1220,0
75.7,hold,25,0,0,0,0,771,9.57,9.79,0.00,370,499,38,187,79,56,1316,0
80.7,hold,25,0,0,0,0,820,9.55,9.79,0.00,370,499,52,191,80,60,1397,0
85.7,hold,25,0,0,0,0,864,9.55,9.79,0.00,378,498,65,85,80,63,1490,0
90.8,hold,25,0,0,0,0,908,9.55,9.79,0.00,370,498,77,94,80,68,1556,0
95.8,hold,25,0,0,0,0,960,9.57,9.79,0.00,371,500,94,100,80,74,1744,0
100.9,hold,25,0,0,0,0,1004,9.58,9.79,0.00,370,500,108,120,80,77,1820,0
105.9,hold,25,0,0,0,0,1046,9.55,9.79,0.00,357,498,120,131,80,81,1916,0
110.9,hold,25,0,0,0,0,1097,9.58,9.79,0.00,370,500,135,148,80,86,1997,24
115.9,hold,25,0,0,0,0,1140,9.58,9.79,0.00,365,500,149,166,80,88,2091,24
120.9,hold,25,0,0,0,0,1187,9.58,9.79,0.00,356,498,161,193,82,93,2156,24
125.9,hold,25,0,0,0,0,1286,9.98,9.79,0.00,374,500,180,249,103,100,2353,63
131.0,hold,25,0,0,0,0,1329,9.98,9.79,0.00,374,499,194,153,103,102,2420,78
136.0,hold,25,0,0,0,0,1371,9.93,9.79,0.00,370,496,208,196,103,106,2516,96
141.0,hold,25,0,0,0,0,1422,9.97,9.79,0.00,371,499,223,170,103,111,2600,120
146.1,hold,25,0,0,0,0,1466,9.98,9.79,0.00,370,499,19,279,103,113,2693,120
151.1,hold,25,0,0,0,0,1508,9.92,9.79,0.00,365,496,33,299,103,118,2756,120
156.1,hold,25,0,0,0,0,1562,10.00,9.79,0.00,364,500,50,274,103,125,2950,164
161.1,hold,25,0,0,0,0,1606,10.00,9.79,0.00,370,500,64,96,103,127,3020,176
166.1,hold,25,0,0,0,0,1646,9.93,9.79,0.00,361,496,76,93,103,131,3116,192
171.2,hold,25,0,0,0,0,1698,9.98,9.79,0.00,375,500,93,116,106,136,3200,216
176.2,hold,25,0,0,0,0,1742,10.00,9.79,0.00,375,500,107,131,106,138,3295,216
181.2,hold,25,0,0,0,0,1786,9.85,9.79,0.00,356,495,120,146,103,143,3356,216
186.2,hold,25,0,0,0,0,1862,9.57,9.79,0.00,356,499,140,141,81,150,3550,260
191.2,hold,25,0,0,0,0,1906,9.57,9.79,0.00,349,499,154,111,81,152,3620,298
196.2,hold,25,0,0,0,0,1946,9.48,9.79,0.00,344,494,166,123,81,156,3716,312
201.2,hold,25,0,0,0,0,1998,9.55,9.79,0.00,344,499,182,136,81,161,3800,336
206.3,hold,25,0,0,0,0,2042,9.57,9.79,0.00,344,499,195,152,81,163,3895,336
211.3,hold,25,0,0,0,0,2087,9.53,9.79,0.00,344,498,207,161,81,168,3956,336
216.3,hold,25,0,0,0,0,2138,9.58,9.79,0.00,344,500,223,169,81,175,4150,404
221.3,hold,25,0,0,0,0,2181,9.57,9.79,0.00,341,499,18,204,81,177,4220,442
226.3,hold,25,0,0,0,0,2225,9.55,9.79,0.00,318,498,33,223,81,181,4318,458
231.3,hold,25,0,0,0,0,2274,9.57,9.79,0.00,321,500,48,229,83,186,4400,480
236.3,hold,25,0,0,0,0,2318,9.57,9.79,0.00,318,499,61,240,83,188,4495,480
241.3,hold,25,0,0,0,0,2366,9.53,9.79,0.00,311,494,19,116,88,193,4556,480
246.4,hold,25,0,0,0,0,2463,10.00,9.79,0.00,321,500,17,144,108,200,4750,548
251.4,hold,25,0,0,0,0,2507,9.98,9.79,0.00,334,499,32,144,108,202,4820,586
256.4,hold,25,0,0,0,0,2552,10.00,9.79,0.00,321,500,20,135,108,206,4916,602
261.4,hold,25,0,0,0,0,2599,9.98,9.79,0.00,321,500,35,136,108,211,5000,623
266.4,hold,25,0,0,0,0,2644,9.98,9.79,0.00,321,499,24,136,108,213,5093,623
271.4,hold,25,0,0,0,0,2689,9.98,9.79,0.00,318,500,38,137,108,218,5138,626
276.4,hold,25,0,0,0,0,2738,10.00,9.79,0.00,318,500,27,136,108,225,5349,647
281.4,hold,25,0,0,0,0,2783,10.00,9.79,0.00,318,500,41,118,108,227,5404,671
286.5,hold,25,0,0,0,0,2827,10.00,9.79,0.00,334,500,29,106,108,231,5493,671
291.5,hold,25,0,0,0,0,2874,9.98,9.79,0.00,318,500,17,116,103,236,5600,671
296.5,hold,25,0,0,0,0,2919,9.98,9.79,0.00,318,499,32,110,103,238,5693,671
301.5,hold,25,0,0,0,0,2969,9.88,9.79,0.00,254,499,18,115,97,243,5738,674
