session,user,start_ms,start_error,final_state,reconnecting_events,max_reconnect_attempt,connected_events,disconnected_events,chat_attempted,chat_sent,chat_send_p50_ms,chat_delivered,duplicate_chat_deliveries,stream_updated,participants_updated,poll_events,events,stop_ms
0,shared,258,,stopped,0,0,1,1,12,12,51,89,0,1,0,4,62,48
1,shared,141,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,40
2,shared,142,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,44
3,shared,146,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,40
4,shared,145,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,46
5,shared,141,,stopped,0,0,1,1,12,12,52,88,0,1,0,4,62,48
6,shared,159,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,44
7,shared,141,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,45
8,shared,199,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,42
9,shared,140,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,43
10,shared,183,,stopped,0,0,1,1,12,12,50,87,0,1,0,4,61,47
11,shared,143,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,45
12,shared,144,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,42
13,shared,147,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,50
14,shared,143,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,46
15,shared,142,,stopped,0,0,1,1,11,11,51,86,0,1,0,4,62,46
16,shared,139,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,44
17,shared,142,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,44
18,shared,134,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,42
19,shared,139,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,46
20,shared,149,,stopped,0,0,1,1,11,11,50,89,0,1,0,4,62,40
21,shared,142,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,46
22,shared,135,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,42
23,shared,150,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,48
24,shared,213,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,41
25,shared,142,,stopped,0,0,1,1,12,12,51,88,0,1,0,4,63,39
26,shared,145,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,47
27,shared,150,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,45
28,shared,141,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,42
29,shared,140,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,47
30,shared,139,,stopped,0,0,1,1,11,11,52,89,0,1,0,4,63,43
31,shared,136,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,41
32,shared,136,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,40
33,shared,135,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,43
34,shared,137,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,43
35,shared,138,,stopped,0,0,1,1,12,12,52,86,0,1,0,4,62,40
36,shared,161,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,41
37,shared,134,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,48
38,shared,135,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,43
39,shared,142,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,42
40,shared,131,,stopped,0,0,1,1,11,11,49,88,0,1,0,4,63,41
41,shared,141,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,47
42,shared,149,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,43
43,shared,136,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,46
44,shared,137,,stopped,0,0,1,1,0,0,,90,0,1,0,4,63,40
