t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.3,ramp,24,1,0,0,0,105,1.75,91.25,0.00,389,9,51,166,120,0,0,0
10.3,ramp,49,1,0,0,0,255,4.25,91.25,0.00,305,58,102,198,221,1,0,0
15.3,ramp,73,1,0,0,0,441,7.35,91.25,0.00,317,146,165,227,320,2,54,0
20.3,ramp,98,1,0,0,0,676,11.27,91.25,0.00,245,278,26,232,418,6,286,0
25.3,ramp,123,0,0,0,0,951,15.83,91.25,0.00,245,450,48,249,516,8,501,0
30.3,ramp,147,1,0,0,0,1261,20.98,91.25,0.00,240,661,107,323,619,10,705,0
35.4,ramp,172,1,0,0,0,1616,26.93,91.25,0.00,218,915,104,379,716,13,1198,0
40.4,ramp,196,1,0,0,0,2019,33.63,91.25,0.00,222,1213,114,358,815,20,1591,0
45.4,ramp,221,1,0,0,0,2459,40.95,91.25,0.00,242,1545,134,372,924,28,1831,0
50.4,ramp,246,1,0,0,0,2945,49.08,91.25,0.00,219,1921,168,386,1015,40,1831,0
55.4,hold,250,0,0,0,0,3386,56.43,91.25,0.00,245,2340,77,385,1041,46,1831,0
60.4,hold,250,0,0,0,0,3809,63.45,91.25,0.00,248,2756,96,469,1041,52,1831,0
65.4,hold,250,0,0,0,0,4251,69.00,91.25,0.00,245,3156,119,504,1000,60,1831,0
70.5,hold,250,0,0,0,0,4711,74.15,91.25,0.00,245,3531,144,465,950,69,1831,0
75.5,hold,250,0,0,0,0,5161,78.53,91.25,0.00,244,3860,169,437,903,77,1856,0
80.5,hold,250,0,0,0,0,5605,81.98,91.25,0.00,232,4133,80,442,853,90,2641,0
85.5,hold,250,0,0,0,0,6067,85.08,91.25,0.00,236,4389,120,446,804,96,3448,0
90.5,hold,250,0,0,0,0,6513,87.32,91.25,0.00,238,4592,151,444,755,102,3850,0
95.5,hold,250,0,0,0,0,6949,88.58,91.25,0.00,231,4738,180,411,705,110,4484,0
100.6,hold,250,0,0,0,0,7416,89.62,91.25,0.00,231,4873,100,312,655,119,5225,0
105.6,hold,250,0,0,0,0,7866,89.70,91.25,0.00,231,4951,128,311,607,127,5566,0
110.6,hold,250,0,0,0,0,8303,88.90,91.25,0.00,224,4975,151,320,557,140,5566,0
115.6,hold,250,0,0,0,0,8752,88.98,91.25,0.00,224,4990,183,278,551,146,5566,0
120.6,hold,250,0,0,0,0,9176,89.08,91.25,0.00,227,4994,87,293,553,152,5566,0
125.7,hold,250,0,0,0,0,9628,89.12,91.25,0.00,211,4971,110,302,572,160,5566,0
130.7,hold,250,0,0,0,0,10127,89.95,91.25,0.00,216,4996,149,288,597,169,5566,0
135.7,hold,250,0,0,0,0,10601,90.28,91.25,0.00,219,4994,183,290,622,177,5638,0
140.7,hold,250,0,0,0,0,11056,90.30,91.25,0.00,210,4968,91,326,646,190,6055,0
145.7,hold,250,0,0,0,0,11556,91.17,91.25,0.00,222,4996,157,332,671,196,7166,0
150.7,hold,250,0,0,0,0,12027,91.60,91.25,0.00,223,4997,99,342,696,202,7558,0
155.7,hold,250,0,0,0,0,12503,91.98,91.25,0.00,223,4995,153,332,720,210,8054,0
160.8,hold,250,0,0,0,0,12980,92.32,91.25,0.00,227,4991,90,334,745,219,8554,0
165.8,hold,250,0,0,0,0,13453,92.77,91.25,0.00,231,4995,146,339,769,227,9301,0
170.8,hold,250,0,0,0,0,13934,93.22,91.25,0.00,223,4995,80,340,795,240,9301,0
175.8,hold,250,0,0,0,0,14361,93.18,91.25,0.00,223,4992,122,335,797,247,9301,0
180.8,hold,250,0,0,0,0,14784,93.18,91.25,0.00,223,4995,165,339,792,252,9301,0
185.8,hold,250,0,0,0,0,15203,92.22,91.25,0.00,223,4960,87,339,767,260,9301,0
190.8,hold,250,0,0,0,0,15685,92.33,91.25,0.00,234,4992,144,299,742,269,9301,0
195.9,hold,250,0,0,0,0,16139,91.95,91.25,0.00,244,4994,193,301,718,278,9301,0
200.9,hold,250,0,0,0,0,16594,91.55,91.25,0.00,244,4994,136,301,693,290,10075,0
205.9,hold,250,0,0,0,0,17044,91.22,91.25,0.00,245,5000,80,304,691,297,10743,0
210.9,hold,250,0,0,0,0,17487,90.70,91.25,0.00,245,4992,134,305,667,302,11158,0
215.9,hold,250,0,0,0,0,17901,89.70,91.25,0.00,244,4957,182,300,648,310,11541,0
220.9,hold,250,0,0,0,0,18390,89.92,91.25,0.00,261,4994,158,297,626,319,12289,0
225.9,hold,250,0,0,0,0,18843,89.45,91.25,0.00,256,4992,127,303,601,328,13036,0
231.0,hold,250,0,0,0,0,19295,89.13,91.25,0.00,263,4997,87,292,576,340,13036,0
236.0,hold,250,0,0,0,0,19719,89.05,91.25,0.00,263,4993,147,292,575,347,13036,0
241.0,hold,250,0,0,0,0,20151,89.15,91.25,0.00,262,4996,102,292,578,352,13036,0
246.0,hold,250,0,0,0,0,20625,89.57,91.25,0.00,251,4996,170,292,603,360,13036,0
251.0,hold,250,0,0,0,0,21103,89.82,91.25,0.00,245,4987,130,292,628,369,13036,0
256.0,hold,250,0,0,0,0,21575,90.25,91.25,0.00,229,4989,94,278,652,378,13036,0
261.0,hold,250,0,0,0,0,22053,90.68,91.25,0.00,229,4990,172,284,677,390,13550,0
266.1,hold,250,0,0,0,0,22528,91.17,91.25,0.00,219,4994,149,285,685,397,14374,0
271.1,hold,250,0,0,0,0,23001,91.50,91.25,0.00,217,4989,124,288,706,402,14894,0
276.1,hold,250,0,0,0,0,23479,92.07,91.25,0.00,209,4999,102,289,731,410,15092,0
281.1,hold,250,0,0,0,0,23954,92.45,91.25,0.00,209,4997,100,303,755,419,16024,0
286.1,hold,250,0,0,0,0,24433,92.80,91.25,0.00,209,4993,190,304,780,429,16502,0
291.1,hold,250,0,0,0,0,24908,93.22,91.25,0.00,209,4995,186,297,805,440,16771,0
296.2,hold,250,0,0,0,0,25335,93.18,91.25,0.00,209,4991,168,294,805,447,16771,0
301.2,hold,250,0,0,0,0,25760,93.17,91.25,0.00,209,4994,154,294,801,452,16771,0
306.2,hold,250,0,0,0,0,26208,92.70,91.25,0.00,209,4991,140,310,776,460,16771,0
311.2,hold,250,0,0,0,0,26666,92.42,91.25,0.00,209,5000,133,306,752,469,16771,0
316.2,hold,250,0,0,0,0,27117,91.83,91.25,0.00,207,4990,120,295,727,479,16771,0
321.3,hold,250,0,0,0,0,27567,91.47,91.25,0.00,207,4992,117,291,703,490,17293,0
326.3,hold,250,0,0,0,0,28018,91.15,91.25,0.00,207,4997,117,294,679,497,17922,0
331.3,hold,250,0,0,0,0,28464,90.62,91.25,0.00,199,4990,116,296,654,502,18382,0
336.3,hold,250,0,0,0,0,28915,90.23,91.25,0.00,199,4992,115,292,629,510,18833,0
341.3,hold,250,0,0,0,0,29364,89.78,91.25,0.00,198,4988,124,286,606,519,19868,0
346.3,hold,250,0,0,0,0,29825,89.37,91.25,0.00,198,4990,125,286,581,529,20243,0
351.4,hold,250,0,0,0,0,30272,88.95,91.25,0.00,185,4988,126,285,557,540,20506,0
356.4,drain,202,0,0,0,48,30694,89.02,91.25,0.00,170,4949,114,321,557,541,20506,0
361.4,drain,153,0,0,0,97,31042,87.68,91.25,0.00,154,4831,161,331,558,541,20506,0
366.4,drain,105,0,0,0,145,31306,84.57,91.25,0.00,150,4627,171,343,558,541,20506,0
371.4,drain,56,0,0,0,194,31485,80.08,91.25,0.00,150,4344,143,431,557,541,20506,0
376.4,drain,8,0,0,0,242,31589,74.27,91.25,0.00,133,3982,177,450,557,541,20506,0
381.5,idle,0,0,0,0,250,31597,66.83,91.25,0.00,123,3563,179,407,556,541,20506,0
386.5,idle,0,0,0,0,250,31597,59.43,91.25,0.00,118,3149,179,407,556,541,20506,0
391.5,idle,0,0,0,0,250,31597,51.87,91.25,0.00,81,2726,179,407,556,541,20506,0
396.5,idle,0,0,0,0,250,31597,44.40,91.25,0.00,54,2310,179,273,548,541,20506,0
401.5,idle,0,0,0,0,250,31597,36.93,91.25,0.00,41,1895,180,187,544,541,20506,0
406.5,idle,0,0,0,0,250,31597,29.33,91.25,0.00,25,1476,180,188,544,541,20506,0
411.6,idle,0,0,0,0,250,31597,21.82,91.25,0.00,25,1060,180,81,543,541,20506,0
416.6,idle,0,0,0,0,250,31597,14.77,91.25,0.00,26,685,180,85,492,541,20506,0
421.6,idle,0,0,0,0,250,31597,9.10,91.25,0.00,23,395,181,94,440,541,20506,0
426.6,idle,0,0,0,0,250,31597,4.72,91.25,0.00,23,180,181,87,381,541,20506,0
431.6,idle,0,0,0,0,250,31597,1.73,91.25,0.00,24,50,181,85,327,541,20506,0
436.7,idle,0,0,0,0,250,31597,0.10,91.25,0.00,0,0,181,98,277,541,20506,0
441.7,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,193,269,541,20506,0
446.7,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,203,269,541,20506,0
451.8,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,201,269,541,20506,0
456.8,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,206,269,541,20506,0
461.9,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,50,269,541,20506,0
466.9,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,51,269,541,20506,0
471.9,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,51,269,541,20506,0
476.9,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,49,269,541,20506,0
481.9,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,51,269,541,20506,0
486.9,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,51,269,541,20506,0
492.0,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,55,269,541,20506,0
497.0,idle,0,0,0,0,250,31597,0.00,91.25,0.00,0,0,182,95,269,541,20506,0
