received_ts,session,message_id,created_ts,from_session,duplicate
1789773192.920,10,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.137,11,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.161,26,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.202,41,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.319,12,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.360,27,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.413,42,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.547,13,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.571,28,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.615,43,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.734,14,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.754,29,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.816,44,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.924,0,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.924,15,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773193.985,30,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.025,45,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.113,1,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.135,16,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.166,31,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.219,46,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.319,2,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.320,17,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.363,32,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.428,47,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.516,3,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.548,18,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.575,33,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.630,48,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.736,19,c14f9b12-d821-4c89-a427-7c1a64900549,8101120390.000,20,0
1789773194.736,4,c14f9b12-d821-4c89-a427-7c1a64900549,,20,0
1789773194.818,34,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.834,49,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.926,5,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773194.986,35,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773195.035,50,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773195.117,6,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773195.138,21,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773195.190,36,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773195.240,51,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773195.324,7,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773195.367,22,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773195.402,37,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773195.449,52,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
1789773195.517,8,c14f9b12-d821-4c89-a427-7c1a64900549,1789773190.000,20,0
