session,user,start_ms,start_error,final_state,reconnecting_events,max_reconnect_attempt,connected_events,disconnected_events,chat_attempted,chat_sent,chat_send_p50_ms,chat_delivered,duplicate_chat_deliveries,stream_updated,participants_updated,poll_events,events,stop_ms
0,shared,247,,stopped,0,0,1,1,11,11,54,88,9,1,1,4,63,46
1,shared,140,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,42
2,shared,151,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,41
3,shared,170,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,43
4,shared,159,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,45
5,shared,157,,stopped,0,0,1,1,11,11,51,87,8,1,1,4,63,44
6,shared,138,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,51
7,shared,133,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,43
8,shared,145,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,39
9,shared,149,,stopped,0,0,1,1,0,0,,88,9,1,1,4,62,44
10,shared,224,,stopped,0,0,1,1,12,12,52,88,9,1,1,4,62,46
11,shared,195,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,43
12,shared,144,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,44
13,shared,153,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,44
14,shared,138,,stopped,0,0,1,1,0,0,,90,10,1,1,4,63,46
15,shared,169,,stopped,0,0,1,1,12,12,50,89,9,1,1,4,62,42
16,shared,190,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,45
17,shared,137,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,44
18,shared,144,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,44
19,shared,146,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,43
20,shared,136,,stopped,0,0,1,1,12,12,51,87,10,1,0,4,61,42
21,shared,163,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,43
22,shared,168,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,46
23,shared,142,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,44
24,shared,141,,stopped,0,0,1,1,0,0,,89,10,1,0,4,61,57
25,shared,140,,stopped,0,0,1,1,11,11,50,88,10,1,0,4,62,49
26,shared,184,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,43
27,shared,143,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,43
28,shared,172,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,43
29,shared,128,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,41
30,shared,147,,stopped,0,0,1,1,12,12,51,88,10,1,0,4,62,48
31,shared,133,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,44
32,shared,133,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,43
33,shared,139,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,46
34,shared,171,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,45
35,shared,173,,stopped,0,0,1,1,11,11,68,84,10,1,0,4,62,45
36,shared,140,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,46
37,shared,150,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,42
38,shared,141,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,43
39,shared,135,,stopped,0,0,1,1,0,0,,88,9,1,0,4,61,44
40,shared,162,,stopped,0,0,1,1,11,11,50,88,10,1,0,4,61,80
41,shared,159,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,42
42,shared,165,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,43
43,shared,143,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,42
44,shared,135,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,42
45,shared,148,,stopped,0,0,1,1,11,11,51,88,9,1,0,4,62,44
46,shared,134,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,44
47,shared,144,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,40
48,shared,143,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,41
49,shared,162,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,43
50,shared,202,,stopped,0,0,1,1,11,11,50,90,10,1,0,4,62,45
51,shared,163,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,41
52,shared,142,,stopped,0,0,1,1,0,0,,90,10,1,0,4,62,42
53,shared,151,,stopped,0,0,1,1,0,0,,88,9,1,0,4,61,49
54,shared,145,,stopped,0,0,1,1,0,0,,89,10,1,0,4,61,45
55,shared,175,,stopped,0,0,1,1,11,11,49,89,10,1,0,4,61,42
56,shared,139,,stopped,0,0,1,1,0,0,,89,10,1,0,4,61,42
57,shared,140,,stopped,0,0,1,1,0,0,,89,10,1,0,4,61,44
58,shared,134,,stopped,0,0,1,1,0,0,,89,10,1,0,4,61,43
59,shared,145,,stopped,0,0,1,1,0,0,,89,10,1,0,4,61,46
60,shared,170,,stopped,0,0,1,1,11,11,67,86,10,1,0,4,61,43
61,shared,138,,stopped,0,0,1,1,0,0,,89,10,1,0,4,61,47
62,shared,140,,stopped,0,0,1,1,0,0,,89,10,1,0,4,61,44
