t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.3,ramp,24,1,0,0,0,107,1.77,91.25,0.00,371,9,50,167,121,0,0,0
10.3,ramp,49,1,0,0,0,254,4.23,91.25,0.00,275,58,100,216,220,0,0,0
15.3,ramp,74,0,0,0,0,446,7.42,91.25,0.00,357,147,160,255,320,3,51,0
20.3,ramp,98,1,0,0,0,674,11.23,91.25,0.00,275,279,231,359,416,3,191,0
25.3,ramp,123,1,0,0,0,949,15.82,91.25,0.00,271,452,49,227,520,5,322,25
30.3,ramp,147,1,0,0,0,1261,21.02,91.25,0.00,262,664,70,272,623,8,538,98
35.4,ramp,172,1,0,0,0,1621,27.02,91.25,0.00,222,920,53,259,716,13,1068,98
40.4,ramp,197,0,0,0,0,2027,33.73,91.25,0.00,243,1213,68,279,814,23,1765,98
45.4,ramp,221,1,0,0,0,2467,41.12,91.25,0.00,243,1549,80,310,921,33,2029,98
50.4,ramp,246,1,0,0,0,2949,49.13,91.25,0.00,225,1929,84,320,1013,35,2029,98
55.4,hold,250,0,0,0,0,3387,56.45,91.25,0.00,225,2343,136,356,1046,44,2029,98
60.4,hold,250,0,0,0,0,3817,63.45,91.25,0.00,233,2759,87,468,1044,52,2029,98
65.5,hold,250,0,0,0,0,4266,69.18,91.25,0.00,222,3172,232,557,995,58,2029,98
70.5,hold,250,0,0,0,0,4717,74.22,91.25,0.00,231,3535,220,572,953,70,2029,98
75.5,hold,250,0,0,0,0,5171,78.58,91.25,0.00,231,3863,206,541,904,80,2281,98
80.5,hold,250,0,0,0,0,5617,82.13,91.25,0.00,225,4147,188,499,857,85,2708,98
85.6,hold,250,0,0,0,0,6072,85.17,91.25,0.00,231,4394,132,544,808,94,2972,98
90.6,hold,250,0,0,0,0,6520,87.33,91.25,0.00,235,4593,120,540,759,102,3315,98
95.6,hold,250,0,0,0,0,6963,88.75,91.25,0.00,240,4750,117,429,710,108,4145,287
100.6,hold,250,0,0,0,0,7422,89.57,91.25,0.00,241,4874,115,393,660,120,5256,347
105.6,hold,250,0,0,0,0,7873,89.67,91.25,0.00,249,4953,105,411,611,130,5761,347
110.6,hold,250,0,0,0,0,8314,89.03,91.25,0.00,244,4985,113,406,561,135,5761,347
115.6,hold,250,0,0,0,0,8750,89.05,91.25,0.00,264,4993,127,408,555,144,5761,347
120.7,hold,250,0,0,0,0,9181,89.13,91.25,0.00,272,4997,136,361,556,152,5761,347
125.7,hold,250,0,0,0,0,9642,89.38,91.25,0.00,274,4987,137,347,580,158,5761,347
130.7,hold,250,0,0,0,0,10131,89.88,91.25,0.00,282,4993,170,350,602,170,5761,347
135.7,hold,250,0,0,0,0,10608,90.32,91.25,0.00,287,4995,91,360,627,180,5817,347
140.7,hold,250,0,0,0,0,11067,90.52,91.25,0.00,275,4982,110,366,650,185,6482,347
145.7,hold,250,0,0,0,0,11555,91.15,91.25,0.00,289,4994,147,377,671,194,6667,347
150.7,hold,250,0,0,0,0,12029,91.57,91.25,0.00,289,4995,69,372,696,202,7079,347
155.8,hold,250,0,0,0,0,12483,91.67,91.25,0.00,278,4976,92,375,719,208,7985,347
160.8,hold,250,0,0,0,0,12984,92.40,91.25,0.00,287,4996,145,376,744,220,8955,596
165.8,hold,250,0,0,0,0,13459,92.73,91.25,0.00,291,4991,75,375,769,230,9491,596
170.8,hold,250,0,0,0,0,13909,92.80,91.25,0.00,278,4971,91,377,793,236,9491,596
175.8,hold,250,0,0,0,0,14361,93.18,91.25,0.00,297,4991,133,378,798,244,9491,596
180.8,hold,250,0,0,0,0,14787,93.15,91.25,0.00,298,4993,172,373,796,252,9491,596
185.8,hold,250,0,0,0,0,15212,92.40,91.25,0.00,278,4971,69,361,772,258,9491,596
190.9,hold,250,0,0,0,0,15689,92.30,91.25,0.00,298,4991,113,367,747,270,9491,596
195.9,hold,250,0,0,0,0,16146,91.97,91.25,0.00,299,4996,158,367,722,280,9590,596
200.9,hold,250,0,0,0,0,16564,91.05,91.25,0.00,302,4965,59,316,698,286,10238,596
205.9,hold,250,0,0,0,0,17046,91.15,91.25,0.00,308,4995,107,270,673,294,10238,596
211.0,hold,250,0,0,0,0,17503,90.70,91.25,0.00,322,4994,158,194,655,302,10736,596
216.0,hold,250,0,0,0,0,17951,90.25,91.25,0.00,314,4992,76,259,631,308,11481,600
221.0,hold,250,0,0,0,0,18402,89.87,91.25,0.00,308,4992,127,289,606,321,12307,843
226.1,hold,250,0,0,0,0,18860,89.50,91.25,0.00,305,4995,81,327,581,330,13222,1092
