--------- beginning of main
09-19 19:14:16.244 I/HEM96   (15985): AUTORUN start rows=HOLD
09-19 19:14:16.255 I/HEM96   (15985): ROW HOLD begin
09-19 19:14:17.968 I/HEM96   (15985): HOLD start_ms=1690 state=Active stream=LIVE user=BR Staging Test chats=20 polls=7 room=1
09-19 19:14:17.969 I/HEM96   (15985): HOLD EVENT 2026-09-20T02:14:17.969Z StateChanged(Active)
09-19 19:14:17.970 I/HEM96   (15985): HOLD EVENT 2026-09-20T02:14:17.970Z ConnectionChanged(Connected)
09-19 19:14:21.046 I/HEM96   (15985): HOLD EVENT 2026-09-20T02:14:21.045Z StreamUpdated(state=LIVE viewers=1)
09-19 19:14:21.048 I/HEM96   (15985): HOLD EVENT 2026-09-20T02:14:21.047Z PollUpdated(248f3162 closed=true responses=1 my=99fb675f)
09-19 19:14:21.049 I/HEM96   (15985): HOLD EVENT 2026-09-20T02:14:21.049Z PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe)
09-19 19:14:21.050 I/HEM96   (15985): HOLD EVENT 2026-09-20T02:14:21.049Z PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31)
09-19 19:14:21.051 I/HEM96   (15985): HOLD EVENT 2026-09-20T02:14:21.050Z PollUpdated(a3c5650a closed=false responses=1 my=564354fa)
09-19 19:14:27.986 I/HEM96   (15985): HOLD t=10s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=57682
09-19 19:14:37.996 I/HEM96   (15985): HOLD t=20s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=58479
09-19 19:14:48.007 I/HEM96   (15985): HOLD t=30s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=59207
09-19 19:14:58.014 I/HEM96   (15985): HOLD t=40s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=60211
09-19 19:15:08.022 I/HEM96   (15985): HOLD t=50s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=59562
09-19 19:15:18.030 I/HEM96   (15985): HOLD t=60s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=59978
09-19 19:15:28.038 I/HEM96   (15985): HOLD t=70s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=57038
09-19 19:15:38.047 I/HEM96   (15985): HOLD t=80s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=57782
09-19 19:15:48.065 I/HEM96   (15985): HOLD t=90s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=57890
09-19 19:15:58.077 I/HEM96   (15985): HOLD t=100s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=58870
09-19 19:16:08.089 I/HEM96   (15985): HOLD t=110s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=59602
09-19 19:16:18.096 I/HEM96   (15985): HOLD t=120s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=57490
09-19 19:16:28.107 I/HEM96   (15985): HOLD t=130s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=58478
09-19 19:16:38.116 I/HEM96   (15985): HOLD t=140s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=59206
09-19 19:16:48.129 I/HEM96   (15985): HOLD t=150s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=59942
09-19 19:16:58.146 I/HEM96   (15985): HOLD t=160s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=60914
09-19 19:17:08.162 I/HEM96   (15985): HOLD t=170s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=56226
09-19 19:17:18.175 I/HEM96   (15985): HOLD t=180s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=56882
09-19 19:17:28.189 I/HEM96   (15985): HOLD t=190s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=57846
09-19 19:17:38.205 I/HEM96   (15985): HOLD t=200s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=58594
09-19 19:17:48.219 I/HEM96   (15985): HOLD t=210s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=59402
09-19 19:17:58.228 I/HEM96   (15985): HOLD t=220s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=56346
09-19 19:18:08.244 I/HEM96   (15985): HOLD t=230s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=57094
09-19 19:18:18.254 I/HEM96   (15985): HOLD t=240s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=57982
09-19 19:18:28.272 I/HEM96   (15985): HOLD t=250s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=58946
09-19 19:18:38.289 I/HEM96   (15985): HOLD t=260s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=59678
09-19 19:18:48.305 I/HEM96   (15985): HOLD t=270s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=55874
09-19 19:18:58.318 I/HEM96   (15985): HOLD t=280s state=Active conn=Connected events=7 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=56862
