--------- beginning of main
09-18 15:17:46.573 I/HEM96   ( 5597): AUTORUN start rows=N4,N5,N6
09-18 15:17:46.582 I/HEM96   ( 5597): ROW N4 begin
09-18 15:17:47.834 I/HEM96   ( 5597): N4 default → n=20 states={SCHEDULED=8, LIVE=12} page=1/2 total=40 perPage=20 hasNext=true hasPrev=false firstId=69961f33
09-18 15:17:47.876 I/HEM96   ( 5597): N4 live-only → n=20 states={SCHEDULED=8, LIVE=12} page=1/2 total=40 perPage=20 hasNext=true hasPrev=false firstId=69961f33
09-18 15:17:47.908 I/HEM96   ( 5597): N4 scheduled-only → n=20 states={SCHEDULED=8, LIVE=12} page=1/2 total=40 perPage=20 hasNext=true hasPrev=false firstId=69961f33
09-18 15:17:47.941 I/HEM96   ( 5597): N4 vod-only → n=20 states={SCHEDULED=8, LIVE=12} page=1/2 total=40 perPage=20 hasNext=true hasPrev=false firstId=69961f33
09-18 15:17:47.974 I/HEM96   ( 5597): N4 all-off → n=20 states={SCHEDULED=8, LIVE=12} page=1/2 total=40 perPage=20 hasNext=true hasPrev=false firstId=69961f33
09-18 15:17:48.042 I/HEM96   ( 5597): N4 limit1 → n=1 states={SCHEDULED=1} page=1/40 total=40 perPage=1 hasNext=true hasPrev=false firstId=69961f33
09-18 15:17:48.138 I/HEM96   ( 5597): N4 limit100 → n=40 states={SCHEDULED=13, LIVE=17, VOD=10} page=1/1 total=40 perPage=100 hasNext=false hasPrev=false firstId=69961f33
09-18 15:17:48.167 I/HEM96   ( 5597): N4 page2-limit1 → n=1 states={SCHEDULED=1} page=1/40 total=40 perPage=1 hasNext=true hasPrev=false firstId=69961f33
09-18 15:17:48.207 I/HEM96   ( 5597): N4 page9999 → n=20 states={SCHEDULED=8, LIVE=12} page=1/2 total=40 perPage=20 hasNext=true hasPrev=false firstId=69961f33
09-18 15:17:48.282 I/HEM96   ( 5597): N4 vod-limit7 → n=7 states={VOD=7} page=1/2 total=10 perPage=7 hasNext=true hasPrev=false firstId=579142a2
09-18 15:17:48.314 I/HEM96   ( 5597): N4 live-limit7 → n=7 states={VOD=7} page=1/2 total=10 perPage=7 hasNext=true hasPrev=false firstId=579142a2
09-18 15:17:48.380 I/HEM96   ( 5597): N4 userId=owner → n=1 states={LIVE=1} page=1/1 total=1 perPage=20 hasNext=false hasPrev=false firstId=71e76bb9
09-18 15:17:48.444 I/HEM96   ( 5597): N4 userId=bogus → n=0 states={} page=1/0 total=0 perPage=20 hasNext=false hasPrev=false firstId=null
09-18 15:17:48.445 I/HEM96   ( 5597): N4 limit0 → InvalidRequest
09-18 15:17:48.445 I/HEM96   ( 5597): N4 page0 → InvalidRequest
09-18 15:17:48.446 I/HEM96   ( 5597): ROW N4 INFO see lines above (CDN caching verdict is computed from them)
09-18 15:17:48.446 I/HEM96   ( 5597): ROW N5 begin
09-18 15:17:49.506 I/HEM96   ( 5597): N5 fetchStream live → id=71e76bb9 state=LIVE type=broadcast hls=true vod=true thumb=true viewers=0 dur=null live=2026-09-16T17:23:42Z sched=2026-09-16T17:19:56Z title=Jordan Test
09-18 15:17:49.564 I/HEM96   ( 5597): N5 fetchStream vod → id=49c736f8 state=VOD type=broadcast hls=true vod=true thumb=true viewers=0 dur=400.0 live=2026-08-10T15:03:01Z sched=2026-08-10T15:01:35Z title=brlivestreamauto brcs-staging10-3
09-18 15:17:49.620 I/HEM96   ( 5597): N5 fetchStream bogus → Server(400, null)
09-18 15:17:49.672 I/HEM96   ( 5597): N5 fetchStream empty → Server(404, Route not found)
09-18 15:17:49.724 I/HEM96   ( 5597): N5 fetchUser self → id=fff4c1ac name=null display=BR Staging Test pic=true badge=false bio=false tw=null role=null restr=null followers=0 blockedUsers=0 moderates=0
09-18 15:17:49.777 I/HEM96   ( 5597): N5 fetchUser owner → id=a533e186 name=null display=BleacherBobo pic=true badge=false bio=true tw=@bleacherbob role=null restr=null followers=0 blockedUsers=0 moderates=0
09-18 15:17:49.827 I/HEM96   ( 5597): N5 fetchUser bogus → Server(500, User not found)
09-18 15:17:49.876 I/HEM96   ( 5597): N5 fetchUser empty → Server(404, Route not found)
09-18 15:17:49.950 I/HEM96   ( 5597): N5 list-row live: present=true hls=false vod=false thumb=true
09-18 15:17:49.951 I/HEM96   ( 5597): ROW N5 INFO see lines above
09-18 15:17:49.951 I/HEM96   ( 5597): ROW N6 begin
09-18 15:17:49.955 I/HEM96   ( 5597): N6[0] EVENT 2026-09-18T22:17:49.954Z StateChanged(Starting)
09-18 15:17:51.138 I/HEM96   ( 5597): N6[0] start_ms=1184 state=Active stream=LIVE user=BR Staging Test chats=20 polls=7 room=0
09-18 15:17:51.140 I/HEM96   ( 5597): N6[0] EVENT 2026-09-18T22:17:51.139Z StateChanged(Active)
09-18 15:17:51.140 I/HEM96   ( 5597): N6[0] EVENT 2026-09-18T22:17:51.140Z ConnectionChanged(Connected)
09-18 15:17:54.534 I/HEM96   ( 5597): N6[0] EVENT 2026-09-18T22:17:54.533Z PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe)
09-18 15:17:54.535 I/HEM96   ( 5597): N6[0] EVENT 2026-09-18T22:17:54.535Z PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31)
09-18 15:17:54.536 I/HEM96   ( 5597): N6[0] EVENT 2026-09-18T22:17:54.536Z PollUpdated(a3c5650a closed=false responses=1 my=fc78cc32)
09-18 15:17:55.140 I/HEM96   ( 5597): N6[0] snapshot stream=LIVE title=Jordan Test hls=true user=BR Staging Test chats=20 polls=7 host=BleacherBobo cohosts=0 guests=0 waiting=0 room=0
09-18 15:17:55.142 I/HEM96   ( 5597): N6[0] EVENT 2026-09-18T22:17:55.141Z StateChanged(Stopping)
09-18 15:17:55.192 I/HEM96   ( 5597): N6[0] EVENT 2026-09-18T22:17:55.191Z ConnectionChanged(Disconnected)
09-18 15:17:55.193 I/HEM96   ( 5597): N6[0] EVENT 2026-09-18T22:17:55.192Z StateChanged(Stopped)
09-18 15:17:55.695 I/HEM96   ( 5597): N6[0] events=[StateChanged(Starting), StateChanged(Active), ConnectionChanged(Connected), PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe), PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31), PollUpdated(a3c5650a closed=false responses=1 my=fc78cc32), StateChanged(Stopping), ConnectionChanged(Disconnected), StateChanged(Stopped)]
09-18 15:17:55.697 I/HEM96   ( 5597): N6[1] EVENT 2026-09-18T22:17:55.696Z StateChanged(Starting)
09-18 15:17:55.814 I/HEM96   ( 5597): N6[1] start_ms=117 state=Active stream=LIVE user=BR Staging Test chats=20 polls=7 room=0
09-18 15:17:55.815 I/HEM96   ( 5597): N6[1] EVENT 2026-09-18T22:17:55.814Z StateChanged(Active)
09-18 15:17:55.816 I/HEM96   ( 5597): N6[1] EVENT 2026-09-18T22:17:55.815Z ConnectionChanged(Connected)
09-18 15:17:59.385 I/HEM96   ( 5597): N6[1] EVENT 2026-09-18T22:17:59.384Z PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe)
09-18 15:17:59.386 I/HEM96   ( 5597): N6[1] EVENT 2026-09-18T22:17:59.385Z PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31)
09-18 15:17:59.386 I/HEM96   ( 5597): N6[1] EVENT 2026-09-18T22:17:59.386Z PollUpdated(a3c5650a closed=false responses=1 my=fc78cc32)
09-18 15:17:59.817 I/HEM96   ( 5597): N6[1] snapshot stream=LIVE title=Jordan Test hls=true user=BR Staging Test chats=20 polls=7 host=BleacherBobo cohosts=0 guests=0 waiting=0 room=0
09-18 15:17:59.818 I/HEM96   ( 5597): N6[1] EVENT 2026-09-18T22:17:59.818Z StateChanged(Stopping)
09-18 15:17:59.868 I/HEM96   ( 5597): N6[1] EVENT 2026-09-18T22:17:59.868Z ConnectionChanged(Disconnected)
09-18 15:17:59.869 I/HEM96   ( 5597): N6[1] EVENT 2026-09-18T22:17:59.869Z StateChanged(Stopped)
09-18 15:18:00.371 I/HEM96   ( 5597): N6[1] events=[StateChanged(Starting), StateChanged(Active), ConnectionChanged(Connected), PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe), PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31), PollUpdated(a3c5650a closed=false responses=1 my=fc78cc32), StateChanged(Stopping), ConnectionChanged(Disconnected), StateChanged(Stopped)]
09-18 15:18:00.373 I/HEM96   ( 5597): N6[2] EVENT 2026-09-18T22:18:00.372Z StateChanged(Starting)
09-18 15:18:00.516 I/HEM96   ( 5597): N6[2] start_ms=144 state=Active stream=LIVE user=BR Staging Test chats=20 polls=7 room=0
09-18 15:18:00.517 I/HEM96   ( 5597): N6[2] EVENT 2026-09-18T22:18:00.517Z StateChanged(Active)
09-18 15:18:00.518 I/HEM96   ( 5597): N6[2] EVENT 2026-09-18T22:18:00.518Z ConnectionChanged(Connected)
09-18 15:18:04.077 I/HEM96   ( 5597): N6[2] EVENT 2026-09-18T22:18:04.076Z PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe)
09-18 15:18:04.078 I/HEM96   ( 5597): N6[2] EVENT 2026-09-18T22:18:04.078Z PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31)
09-18 15:18:04.079 I/HEM96   ( 5597): N6[2] EVENT 2026-09-18T22:18:04.079Z PollUpdated(a3c5650a closed=false responses=1 my=fc78cc32)
09-18 15:18:04.519 I/HEM96   ( 5597): N6[2] snapshot stream=LIVE title=Jordan Test hls=true user=BR Staging Test chats=20 polls=7 host=BleacherBobo cohosts=0 guests=0 waiting=0 room=0
09-18 15:18:04.521 I/HEM96   ( 5597): N6[2] EVENT 2026-09-18T22:18:04.520Z StateChanged(Stopping)
09-18 15:18:04.571 I/HEM96   ( 5597): N6[2] EVENT 2026-09-18T22:18:04.570Z ConnectionChanged(Disconnected)
09-18 15:18:04.572 I/HEM96   ( 5597): N6[2] EVENT 2026-09-18T22:18:04.572Z StateChanged(Stopped)
09-18 15:18:05.073 I/HEM96   ( 5597): N6[2] events=[StateChanged(Starting), StateChanged(Active), ConnectionChanged(Connected), PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe), PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31), PollUpdated(a3c5650a closed=false responses=1 my=fc78cc32), StateChanged(Stopping), ConnectionChanged(Disconnected), StateChanged(Stopped)]
09-18 15:18:05.074 I/HEM96   ( 5597): ROW N6 PASS start_ms reported per iteration above
09-18 15:18:05.075 I/HEM96   ( 5597): AUTORUN COMPLETE
