--------- beginning of main
09-18 15:55:36.162 I/HEM96   ( 8471): UI StateChanged(Starting)
09-18 15:55:37.425 I/HEM96   ( 8471): MEDIA playbackState=BUFFERING
09-18 15:55:37.426 I/HEM96   ( 8471): UI player ← https://livehls.hotmic.io/dash_hls/71e76bb9-de2b-4bb9-ad8d-533b15b1387e/master.m3u8
09-18 15:55:37.428 I/HEM96   ( 8471): UI StateChanged(Active)
09-18 15:55:37.429 I/HEM96   ( 8471): UI ConnectionChanged(Connected)
09-18 15:55:39.974 I/HEM96   ( 8471): MEDIA playbackState=READY
09-18 15:55:40.872 I/HEM96   ( 8471): UI PollUpdated(248f3162 closed=true responses=1 my=99fb675f)
09-18 15:55:40.894 I/HEM96   ( 8471): UI PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe)
09-18 15:55:40.897 I/HEM96   ( 8471): UI PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31)
09-18 15:55:40.901 I/HEM96   ( 8471): UI PollUpdated(a3c5650a closed=false responses=1 my=564354fa)
09-18 15:55:41.165 I/HEM96   ( 8471): MEDIA t=5s state=READY playing=true pos=23482ms buffered=31979ms live=true dur=32000
09-18 15:55:46.166 I/HEM96   ( 8471): MEDIA t=10s state=READY playing=true pos=28489ms buffered=31979ms live=true dur=32000
09-18 15:55:49.569 I/HEM96   ( 8471): MEDIA playbackState=BUFFERING
09-18 15:55:51.168 I/HEM96   ( 8471): MEDIA t=15s state=BUFFERING playing=false pos=31891ms buffered=31979ms live=true dur=32000
09-18 15:55:51.276 I/HEM96   ( 8471): MEDIA error ERROR_CODE_IO_UNSPECIFIED Source error
09-18 15:55:51.279 I/HEM96   ( 8471): MEDIA playbackState=IDLE
09-18 15:55:52.820 I/HEM96   ( 8471): UI StreamUpdated(state=LIVE viewers=1)
09-18 15:55:56.170 I/HEM96   ( 8471): MEDIA t=20s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:01.172 I/HEM96   ( 8471): MEDIA t=25s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:06.179 I/HEM96   ( 8471): MEDIA t=30s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:11.183 I/HEM96   ( 8471): MEDIA t=35s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:16.184 I/HEM96   ( 8471): MEDIA t=40s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:21.186 I/HEM96   ( 8471): MEDIA t=45s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:26.189 I/HEM96   ( 8471): MEDIA t=50s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:31.190 I/HEM96   ( 8471): MEDIA t=55s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:36.194 I/HEM96   ( 8471): MEDIA t=60s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:41.197 I/HEM96   ( 8471): MEDIA t=65s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:46.201 I/HEM96   ( 8471): MEDIA t=70s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:51.205 I/HEM96   ( 8471): MEDIA t=75s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:56:56.205 I/HEM96   ( 8471): MEDIA t=80s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:57:01.210 I/HEM96   ( 8471): MEDIA t=85s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:57:06.214 I/HEM96   ( 8471): MEDIA t=90s state=IDLE playing=false pos=31891ms buffered=31891ms live=true dur=32000
09-18 15:57:06.215 I/HEM96   ( 8471): ROW N7-hls FAIL error=ERROR_CODE_IO_UNSPECIFIED Source error playingSamples=2 stalls=1 maxPos=31891ms seekObserved=-1ms
09-18 15:57:06.216 I/HEM96   ( 8471): UI StateChanged(Stopping)
09-18 15:57:06.282 I/HEM96   ( 8471): UI ConnectionChanged(Disconnected)
09-18 15:57:06.284 I/HEM96   ( 8471): UI StateChanged(Stopped)
09-18 15:57:06.285 I/HEM96   ( 8471): UI stop() returned; state=Stopped
09-18 15:57:06.286 I/HEM96   ( 8471): AUTORUN COMPLETE
