--------- beginning of main
09-18 15:59:11.808 I/HEM96   ( 8907): UI StateChanged(Starting)
09-18 15:59:12.572 I/HEM96   ( 8907): MEDIA playbackState=BUFFERING
09-18 15:59:12.573 I/HEM96   ( 8907): UI player ← https://wbd.hotmic.io/dash_hls/49c736f8-348d-4167-a96e-60415c33de44/master742b_vod.m3u8
09-18 15:59:12.574 I/HEM96   ( 8907): UI StateChanged(Active)
09-18 15:59:12.575 I/HEM96   ( 8907): UI ConnectionChanged(Connected)
09-18 15:59:14.455 I/HEM96   ( 8907): MEDIA playbackState=READY
09-18 15:59:16.003 I/HEM96   ( 8907): UI StreamEnded
09-18 15:59:16.811 I/HEM96   ( 8907): MEDIA t=5s state=READY playing=true pos=2359ms buffered=51200ms live=false dur=400000
09-18 15:59:21.813 I/HEM96   ( 8907): MEDIA t=10s state=READY playing=true pos=7361ms buffered=57600ms live=false dur=400000
09-18 15:59:26.849 I/HEM96   ( 8907): MEDIA t=15s state=READY playing=true pos=12325ms buffered=64000ms live=false dur=400000
09-18 15:59:26.851 I/HEM96   ( 8907): MEDIA playbackState=BUFFERING
09-18 15:59:26.860 I/HEM96   ( 8907): MEDIA seekTo(45s) at t=15s from pos=12325ms
09-18 15:59:27.150 I/HEM96   ( 8907): MEDIA playbackState=READY
09-18 15:59:27.947 I/HEM96   ( 8907): UI StreamUpdated(state=VOD viewers=1)
09-18 15:59:31.862 I/HEM96   ( 8907): MEDIA t=20s state=READY playing=true pos=49580ms buffered=99200ms live=false dur=400000
09-18 15:59:31.863 I/HEM96   ( 8907): MEDIA after-seek pos=49590ms
09-18 15:59:36.864 I/HEM96   ( 8907): MEDIA t=25s state=READY playing=true pos=54591ms buffered=105600ms live=false dur=400000
09-18 15:59:41.866 I/HEM96   ( 8907): MEDIA t=30s state=READY playing=true pos=59592ms buffered=112000ms live=false dur=400000
09-18 15:59:46.868 I/HEM96   ( 8907): MEDIA t=35s state=READY playing=true pos=64592ms buffered=115200ms live=false dur=400000
09-18 15:59:51.869 I/HEM96   ( 8907): MEDIA t=40s state=READY playing=true pos=69588ms buffered=121600ms live=false dur=400000
09-18 15:59:56.870 I/HEM96   ( 8907): MEDIA t=45s state=READY playing=true pos=74589ms buffered=124800ms live=false dur=400000
09-18 16:00:01.873 I/HEM96   ( 8907): MEDIA t=50s state=READY playing=true pos=79598ms buffered=131200ms live=false dur=400000
09-18 16:00:06.875 I/HEM96   ( 8907): MEDIA t=55s state=READY playing=true pos=84598ms buffered=134400ms live=false dur=400000
09-18 16:00:11.876 I/HEM96   ( 8907): MEDIA t=60s state=READY playing=true pos=89596ms buffered=140800ms live=false dur=400000
09-18 16:00:11.877 I/HEM96   ( 8907): ROW N7-vod PASS playingSamples=12 stalls=1 maxPos=89596ms seekObserved=49590ms
09-18 16:00:11.878 I/HEM96   ( 8907): UI StateChanged(Stopping)
09-18 16:00:11.931 I/HEM96   ( 8907): UI ConnectionChanged(Disconnected)
09-18 16:00:11.932 I/HEM96   ( 8907): UI StateChanged(Stopped)
09-18 16:00:11.933 I/HEM96   ( 8907): UI stop() returned; state=Stopped
09-18 16:00:11.934 I/HEM96   ( 8907): AUTORUN COMPLETE
