--------- beginning of main
09-18 16:00:39.082 I/HEM96   ( 9076): AUTORUN start rows=N20
09-18 16:00:39.102 I/HEM96   ( 9076): ROW N20 begin
09-18 16:00:40.574 I/HEM96   ( 9076): N20 start_ms=1450 state=Active stream=LIVE user=BR Staging Test chats=20 polls=7 room=1
09-18 16:01:10.596 I/HEM96   ( 9076): N20 t=30s state=Active conn=Connected events=14 reconnecting=0 batches=7 chats=14 dup=1 streamUpdated=1 participants=0 polls=4 pss_kb=59438
09-18 16:01:40.613 I/HEM96   ( 9076): N20 t=60s state=Active conn=Connected events=15 reconnecting=0 batches=8 chats=15 dup=1 streamUpdated=1 participants=0 polls=4 pss_kb=56464
09-18 16:02:10.626 I/HEM96   ( 9076): N20 t=90s state=Active conn=Connected events=22 reconnecting=0 batches=15 chats=27 dup=2 streamUpdated=1 participants=0 polls=4 pss_kb=59263
09-18 16:02:40.640 I/HEM96   ( 9076): N20 t=120s state=Active conn=Connected events=23 reconnecting=0 batches=16 chats=30 dup=2 streamUpdated=1 participants=0 polls=4 pss_kb=58263
09-18 16:03:10.656 I/HEM96   ( 9076): N20 t=150s state=Active conn=Connected events=29 reconnecting=0 batches=22 chats=40 dup=3 streamUpdated=1 participants=0 polls=4 pss_kb=60795
09-18 16:03:40.670 I/HEM96   ( 9076): N20 t=180s state=Active conn=Connected events=31 reconnecting=0 batches=24 chats=45 dup=3 streamUpdated=1 participants=0 polls=4 pss_kb=59295
09-18 16:04:10.690 I/HEM96   ( 9076): N20 t=210s state=Active conn=Connected events=31 reconnecting=0 batches=24 chats=45 dup=3 streamUpdated=1 participants=0 polls=4 pss_kb=57335
09-18 16:04:40.722 I/HEM96   ( 9076): N20 t=240s state=Active conn=Connected events=31 reconnecting=0 batches=24 chats=45 dup=3 streamUpdated=1 participants=0 polls=4 pss_kb=59919
09-18 16:05:10.746 I/HEM96   ( 9076): N20 t=270s state=Active conn=Connected events=31 reconnecting=0 batches=24 chats=45 dup=3 streamUpdated=1 participants=0 polls=4 pss_kb=58367
09-18 16:05:40.763 I/HEM96   ( 9076): N20 t=300s state=Active conn=Connected events=31 reconnecting=0 batches=24 chats=45 dup=3 streamUpdated=1 participants=0 polls=4 pss_kb=60731
09-18 16:06:10.807 I/HEM96   ( 9076): N20 t=330s state=Active conn=Connected events=35 reconnecting=0 batches=27 chats=51 dup=3 streamUpdated=2 participants=0 polls=4 pss_kb=58619
09-18 16:06:40.824 I/HEM96   ( 9076): N20 t=360s state=Active conn=Connected events=46 reconnecting=0 batches=36 chats=76 dup=3 streamUpdated=3 participants=1 polls=4 pss_kb=61335
09-18 16:07:10.846 I/HEM96   ( 9076): N20 t=390s state=Active conn=Connected events=55 reconnecting=0 batches=45 chats=101 dup=3 streamUpdated=3 participants=1 polls=4 pss_kb=59835
09-18 16:07:40.860 I/HEM96   ( 9076): N20 t=420s state=Active conn=Connected events=64 reconnecting=0 batches=54 chats=126 dup=4 streamUpdated=3 participants=1 polls=4 pss_kb=57931
09-18 16:08:10.883 I/HEM96   ( 9076): N20 t=450s state=Active conn=Connected events=74 reconnecting=0 batches=64 chats=151 dup=8 streamUpdated=3 participants=1 polls=4 pss_kb=60475
09-18 16:08:40.905 I/HEM96   ( 9076): N20 t=480s state=Active conn=Connected events=85 reconnecting=0 batches=74 chats=176 dup=12 streamUpdated=3 participants=2 polls=4 pss_kb=59083
09-18 16:09:10.918 I/HEM96   ( 9076): N20 t=510s state=Active conn=Connected events=95 reconnecting=0 batches=84 chats=201 dup=17 streamUpdated=3 participants=2 polls=4 pss_kb=61793
09-18 16:09:40.933 I/HEM96   ( 9076): N20 t=540s state=Active conn=Connected events=105 reconnecting=0 batches=94 chats=226 dup=23 streamUpdated=3 participants=2 polls=4 pss_kb=60021
09-18 16:10:10.944 I/HEM96   ( 9076): N20 t=570s state=Active conn=Connected events=115 reconnecting=0 batches=104 chats=251 dup=29 streamUpdated=3 participants=2 polls=4 pss_kb=58573
09-18 16:10:40.958 I/HEM96   ( 9076): N20 t=600s state=Active conn=Connected events=126 reconnecting=0 batches=114 chats=276 dup=31 streamUpdated=3 participants=3 polls=4 pss_kb=61505
09-18 16:11:10.978 I/HEM96   ( 9076): N20 t=630s state=Active conn=Connected events=133 reconnecting=0 batches=121 chats=294 dup=32 streamUpdated=3 participants=3 polls=4 pss_kb=59757
09-18 16:11:40.993 I/HEM96   ( 9076): N20 t=660s state=Active conn=Connected events=133 reconnecting=0 batches=121 chats=294 dup=32 streamUpdated=3 participants=3 polls=4 pss_kb=58257
09-18 16:12:11.013 I/HEM96   ( 9076): N20 t=690s state=Active conn=Connected events=133 reconnecting=0 batches=121 chats=294 dup=32 streamUpdated=3 participants=3 polls=4 pss_kb=60929
09-18 16:12:41.026 I/HEM96   ( 9076): N20 t=720s state=Active conn=Connected events=134 reconnecting=0 batches=121 chats=294 dup=32 streamUpdated=3 participants=4 polls=4 pss_kb=59069
09-18 16:13:11.040 I/HEM96   ( 9076): N20 t=750s state=Active conn=Connected events=136 reconnecting=0 batches=121 chats=294 dup=32 streamUpdated=5 participants=4 polls=4 pss_kb=61685
09-18 16:13:41.050 I/HEM96   ( 9076): N20 t=780s state=Active conn=Connected events=144 reconnecting=0 batches=129 chats=307 dup=33 streamUpdated=5 participants=4 polls=4 pss_kb=60117
09-18 16:14:11.064 I/HEM96   ( 9076): N20 t=810s state=Active conn=Connected events=145 reconnecting=0 batches=130 chats=309 dup=33 streamUpdated=5 participants=4 polls=4 pss_kb=58529
09-18 16:14:41.077 I/HEM96   ( 9076): N20 t=840s state=Active conn=Connected events=153 reconnecting=0 batches=137 chats=320 dup=34 streamUpdated=5 participants=5 polls=4 pss_kb=61377
09-18 16:15:11.092 I/HEM96   ( 9076): N20 t=870s state=Active conn=Connected events=154 reconnecting=0 batches=138 chats=324 dup=34 streamUpdated=5 participants=5 polls=4 pss_kb=59217
09-18 16:15:41.102 I/HEM96   ( 9076): N20 t=900s state=Active conn=Connected events=161 reconnecting=0 batches=145 chats=334 dup=35 streamUpdated=5 participants=5 polls=4 pss_kb=61781
09-18 16:16:11.114 I/HEM96   ( 9076): N20 t=930s state=Active conn=Connected events=163 reconnecting=0 batches=147 chats=339 dup=35 streamUpdated=5 participants=5 polls=4 pss_kb=60089
09-18 16:16:41.145 I/HEM96   ( 9076): N20 t=960s state=Active conn=Connected events=168 reconnecting=0 batches=152 chats=348 dup=36 streamUpdated=5 participants=5 polls=4 pss_kb=58169
09-18 16:17:11.166 I/HEM96   ( 9076): N20 t=990s state=Active conn=Connected events=170 reconnecting=0 batches=154 chats=354 dup=37 streamUpdated=5 participants=5 polls=4 pss_kb=60797
09-18 16:17:41.181 I/HEM96   ( 9076): N20 t=1020s state=Active conn=Connected events=177 reconnecting=0 batches=161 chats=362 dup=40 streamUpdated=5 participants=5 polls=4 pss_kb=58981
09-18 16:18:11.201 I/HEM96   ( 9076): N20 t=1050s state=Active conn=Connected events=179 reconnecting=0 batches=163 chats=369 dup=41 streamUpdated=5 participants=5 polls=4 pss_kb=61572
09-18 16:18:41.213 I/HEM96   ( 9076): N20 t=1080s state=Active conn=Connected events=185 reconnecting=0 batches=169 chats=376 dup=41 streamUpdated=5 participants=5 polls=4 pss_kb=59480
09-18 16:19:11.229 I/HEM96   ( 9076): N20 t=1110s state=Active conn=Connected events=188 reconnecting=0 batches=172 chats=384 dup=42 streamUpdated=5 participants=5 polls=4 pss_kb=62108
09-18 16:19:41.244 I/HEM96   ( 9076): N20 t=1140s state=Active conn=Connected events=188 reconnecting=0 batches=172 chats=384 dup=42 streamUpdated=5 participants=5 polls=4 pss_kb=60428
09-18 16:20:11.254 I/HEM96   ( 9076): N20 t=1170s state=Active conn=Connected events=188 reconnecting=0 batches=172 chats=384 dup=42 streamUpdated=5 participants=5 polls=4 pss_kb=58264
09-18 16:20:41.268 I/HEM96   ( 9076): N20 t=1200s state=Active conn=Connected events=188 reconnecting=0 batches=172 chats=384 dup=42 streamUpdated=5 participants=5 polls=4 pss_kb=61132
09-18 16:21:11.279 I/HEM96   ( 9076): N20 t=1230s state=Active conn=Connected events=188 reconnecting=0 batches=172 chats=384 dup=42 streamUpdated=5 participants=5 polls=4 pss_kb=59699
09-18 16:21:41.294 I/HEM96   ( 9076): N20 t=1260s state=Active conn=Connected events=190 reconnecting=0 batches=174 chats=386 dup=42 streamUpdated=5 participants=5 polls=4 pss_kb=66212
09-18 16:22:11.309 I/HEM96   ( 9076): N20 t=1290s state=Active conn=Connected events=198 reconnecting=0 batches=182 chats=399 dup=42 streamUpdated=5 participants=5 polls=4 pss_kb=64708
09-18 16:22:41.337 I/HEM96   ( 9076): N20 t=1320s state=Active conn=Connected events=199 reconnecting=0 batches=183 chats=400 dup=42 streamUpdated=5 participants=5 polls=4 pss_kb=67470
