--------- beginning of main
09-18 15:38:55.315 I/HEM96   ( 6534): AUTORUN start rows=HOLD
09-18 15:38:55.325 I/HEM96   ( 6534): ROW HOLD begin
09-18 15:38:56.625 I/HEM96   ( 6534): HOLD start_ms=1282 state=Active stream=LIVE user=BR Staging Test chats=19 polls=7 room=0
09-18 15:38:56.626 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:38:56.626Z StateChanged(Active)
09-18 15:38:56.627 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:38:56.627Z ConnectionChanged(Connected)
09-18 15:39:00.031 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:39:00.029Z PollUpdated(248f3162 closed=true responses=1 my=99fb675f)
09-18 15:39:00.032 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:39:00.031Z PollUpdated(5d98220b closed=false responses=1 my=aa69e2fe)
09-18 15:39:00.033 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:39:00.032Z PollUpdated(7e9b3c6d closed=false responses=1 my=53a2ea31)
09-18 15:39:00.034 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:39:00.034Z PollUpdated(a3c5650a closed=false responses=1 my=564354fa)
09-18 15:39:06.637 I/HEM96   ( 6534): HOLD t=10s state=Active conn=Connected events=6 reconnecting=0 batches=0 chats=0 dup=0 streamUpdated=0 participants=0 polls=4 pss_kb=58544
09-18 15:39:09.556 I/HEM96   ( 6534): HOLD CHAT id=97c8cb68-7e22-42b0-82a2-df79abc845a2 user=hem96-an created=2026-09-18T22:39:07Z received=2026-09-18T22:39:09.555Z dup=false text=LclientB-run6 s0 n1 2026-09-18T22:39:07.
09-18 15:39:09.557 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:39:09.557Z ChatBatchReceived(messages=1 reactions=0 ids=97c8cb68)
09-18 15:39:11.942 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:39:11.941Z StreamUpdated(state=LIVE viewers=2)
09-18 15:39:12.564 I/HEM96   ( 6534): HOLD CHAT id=97c8cb68-7e22-42b0-82a2-df79abc845a2 user=hem96-an created=2026-09-18T22:39:07Z received=2026-09-18T22:39:12.563Z dup=true text=LclientB-run6 s0 n1 2026-09-18T22:39:07.
09-18 15:39:12.565 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:39:12.564Z ChatBatchReceived(messages=1 reactions=0 ids=97c8cb68)
09-18 15:39:16.647 I/HEM96   ( 6534): HOLD t=20s state=Active conn=Connected events=9 reconnecting=0 batches=2 chats=1 dup=1 streamUpdated=1 participants=0 polls=4 pss_kb=59418
09-18 15:39:21.584 I/HEM96   ( 6534): HOLD CHAT id=bdea4478-b3a7-4275-9daf-335274345092 user=hem96-an created=2026-09-18T22:39:18Z received=2026-09-18T22:39:21.583Z dup=false text=LclientB-run6 s0 n2 2026-09-18T22:39:17.
